Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
50.0,4225.0,public warehousing-farm prod refridgerat,"liberty storage, llc","['storage facility in laramie county, wyoming']",liberty storage,"['storage facility in laramie county, wyoming']",cheyenne wy,"Trade, Professional and Personal Services"
11.0,5812.0,restaurants or eating places,euro gyro,['pizza delivery'],eurogyro,['pizza delivery'],uniontown oh,Entertainment
29.51,5411.0,grocery stores or supermarkets,shree ganpatidada,[],shree,"['view all', 'city government office · main stclosed ⋅ opens fri', '· $$grocery store · state stcloses soon ⋅', 'near white pine, tn', '· $pizza restaurant · circle drclosed ⋅ opens fri']",whitepine tn,Retail Trade
28.0,nan,nan,glamour beauty sal,"['near san francisco', '· $$$ · nail jackson stclosed ⋅ opens fri', '· beauty st ⋅ opens fri', '· nail geary blvdclosed ⋅ opens fri']",glamour beauty salon,"['· $$$ · nail jackson stclosed ⋅ opens fri', 'near san francisco, ca', '· beauty st ⋅ opens fri', '· nail geary blvdclosed ⋅ opens fri']",san francisco ca,"Trade, Professional and Personal Services"
75.0,5971.0,art dealers or galleries,aspen art museum moto,[],aspen art museum,"['view all', 'art museum']",aspen co,Entertainment
7.6,nan,nan,delta bowl,"['bowling alley in antioch, california']",delta bowl,"['bowling alley in antioch, california']",antioch ca,Entertainment
7.41,nan,nan,brennan family chi,"['chiropractor in rochester, minnesota']",brennan family chiropractic and nutrition center,"['chiropractor in rochester, minnesota']",rochester mn,Health and Community Services
17.0,nan,nan,ibiza night club,['night club'],ibiza night club,['night club'],nashville tn,Entertainment
22.08,5812.0,restaurants or eating places,ligori's pizza & pasta,['restaurant'],ligoris,['restaurant'],layton ut,Entertainment
60.0,nan,nan,castle nail spa ad,"['nail salon in dallas, texas']",castle nail spa,"['nail salon in dallas, texas']",dallas tx,"Trade, Professional and Personal Services"
19.0,nan,nan,bethesda row cinem,"['movie theater', 'pm · pm · pm · pm · pm · pm · pm', 'pm · pm · pm · pm', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul', 'pm · pm · pm · pm · pm']",landmark bethesda row cinema,"['movie theater', 'pm · pm · pm · pm · pm · pm · pm', 'pm · pm · pm · pm', 'tomorrow | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul', 'pm · pm · pm · pm · pm']",bethesda md,Entertainment
9.0,nan,nan,our town car wash,"['car wash in blauvelt, new york']",our town car wash,"['car wash in blauvelt, new york']",orangeburg ny,Services to Transport
16.24,nan,nan,modes jewelry,"['jeweler in dallas, texas']",modes jewelry,"['jeweler in dallas, texas']",dallas tx,Retail Trade
7.93,5251.0,hardware stores,honey brook hardware,"['hardware store in chester county, pennsylvania']",honey brook hardware,"['hardware store in chester county, pennsylvania']",honey brook pa,Retail Trade
8.24,5814.0,fast food restaurants,times deli,"['view all', 'deli']",times deli,"['view all', 'deli']",new york ny,Retail Trade
27.0,8299.0,schools and educational services (nec),dusd/deca store,"['· $dollar store · san antonio aveopen ⋅ closes', 'drug store · e stopen ⋅ closes', 'near douglas, az', 'school district office · e stclosed ⋅ opens fri']",douglas unified school district,"['school district office in douglas, arizona']",douglas az,Education
33.04,nan,nan,boltons #,"['public relations firm · greenwich st', 'near new york, ny', 'e st', 'general store · riverside drtemporarily closed']",boltons,"['public relations firm · greenwich st', 'near new york, ny', 'e st', 'general store · riverside drtemporarily closed']",new york ny,Retail Trade
23.44,nan,nan,so ba eav,['vietnamese restaurant'],so ba vietnamese restaurant,['vietnamese restaurant'],atlanta ga,Entertainment
71.98,5099.0,durable goods (nec),fastsigns no,"['sign shop in mesa, arizona']",fastsigns,"['sign shop in mesa, arizona']",mesa az,Property and Business Services
53.25,nan,nan,camera outlet,"['· $$camera store · n mills aveclosed ⋅ opens fri', '· $$photo lab · n orange aveclosed ⋅ opens fri', 'camera store · virginia drclosed ⋅ opens fri', 'near orlando, fl']",camera outlets,"['· $$camera store · n mills aveclosed ⋅ opens fri', '· $$photo lab · n orange aveclosed ⋅ opens fri', 'near camera outlets, w sand lake rd orlando, fl', '· $$electronics store · s orange blossom trlclosed ⋅ opens fri']",orlando fl,Retail Trade
10.0,5812.0,restaurants or eating places,francisco grande resta,['hotel'],francisco grande hotel and golf resort,['hotel'],casa grande az,Travel
25.0,7911.0,dance halls studios and schools,ssqq dance studio,"['dance hall in houston, texas']",ssqq dance studio,"['dance hall in houston, texas']",houston tx,Entertainment
25.16,5542.0,automated fuel dispensers,star k gas,"['gas station in belmont, massachusetts']",star k gas,"['gas station in belmont, massachusetts']",belmont ma,Services to Transport
161.74,nan,nan,body & soul spa &,"['day spa in jackson, wyoming']",body sage spa at the rusty parrot lodge,['spa'],jackson wy,"Trade, Professional and Personal Services"
17.41,nan,nan,tom & john produce,"['produce market · n belcher rd.closed ⋅ opens fri', 'near clearwater, fl', 'produce market · largo, flclosed ⋅ opens fri', 'produce market · s belcher rdclosed ⋅ opens fri']",johns garden produce,['produce market'],clearwater fl,Retail Trade
55.25,5814.0,fast food restaurants,juicys at the fair,['view all'],juicy caf and binicos,['view all'],.. or,Entertainment
25.0,nan,nan,bentleys,['restaurant'],bentleys,['restaurant'],islamorada fl,Entertainment
111.95,5912.0,pharmcies or drug stores,blende drug in,"['pharmacy in pueblo county, colorado']",blende drug,"['pharmacy in pueblo county, colorado']",pueblo co,Retail Trade
4.79,nan,nan,mayberry c,['ice cream shop'],mayberry ice cream restaurants,['ice cream shop'],high point nc,Retail Trade
8.0,7542.0,car washes,# car wash,"['car n aveclosed ⋅ opens fri', 'car e stclosed ⋅ opens fri', 'car e speedway blvdclosed ⋅ opens fri', 'near tucson, az']",octopus car wash,"['e stclosed ⋅ opens fri', 'w valencia rdclosed ⋅ opens fri', 'n thornydale rdclosed ⋅ opens fri', 'near tucson, az']",tucson az,Services to Transport
25.04,4816.0,computer network/info svcs,online secure net tech,[],shanghai city,"['view all', 'municipality in china']",shanghai cn,Entertainment
30.0,8099.0,medical services and health practitioners (nec),south tabor family phy,"['medical clinic in portland, oregon']",south tabor family physicians,"['medical clinic in portland, oregon']",portland or,Health and Community Services
39.65,5812.0,restaurants or eating places,golden steer steakhous,['steak house'],golden steer steakhouse,['steak house'],forest park il,Entertainment
802.5,8299.0,schools and educational services (nec),iowa pharmacy assoc,"['non-profit organization in urbandale, iowa', 'twitter • day ago', 'twitter • days ago', 'twitter • hours ago']",iowa pharmacy association,"['non-profit organization in urbandale, iowa']",ia,Retail Trade
53.49,nan,nan,bomgaars # west,['department store'],bomgaars,['department store'],west point ne,Retail Trade
3.95,nan,nan,opay san mateo rev,[],rev,[],ca,"Trade, Professional and Personal Services"
144.82,5411.0,grocery stores or supermarkets,lowe's  foods #,"['gateway commons circloses soon ⋅', 'capital blvdcloses soon ⋅', 'near wake forest, nc']",lowe's  foods #,"['gateway commons circloses soon ⋅', 'capital blvdcloses soon ⋅', 'near wake forest, nc']",wake forest nc,Retail Trade
39.92,5411.0,grocery stores or supermarkets,big g supermrt    s,['grocery store'],big g supermarket,['grocery store'],decatur ms,Retail Trade
58.18,5812.0,restaurants or eating places,chubbie's billiards,[],chubbies billiards,[],ahoskie nc,Entertainment
16.0,5812.0,restaurants or eating places,keynote lounge llc,['cocktail bar'],keynote lounge,['cocktail bar'],ventura ca,Entertainment
7.2,nan,nan,optimeyes #,"['ophthalmologist in taylor, michigan']",optimeyes,"['ophthalmologist in taylor, michigan']",southgate mi,Health and Community Services
27.36,7538.0,automotive service shops (non-dealer),advanced auto svc,"['s woodlands village blvdclosed ⋅ opens fri', 'n stclosed ⋅ opens fri', 'w kaibab lnclosed ⋅ opens fri', 'near flagstaff, az']",advance auto repair,"['· auto repair s woodlands village blvdclosed ⋅ opens fri', '· auto repair e huntington dr closed', '· tire n kaspar drclosed ⋅ opens fri', 'near flagstaff, az']",flagstaff az,Services to Transport
38.76,nan,nan,sam's korean bbq,['korean restaurant'],sams korean bbq,['korean restaurant'],la quinta ca,Entertainment
1714.11,nan,nan,planet ford,"['ford dealer in harris county, texas']",planet ford,"['ford dealer in harris county, texas']",spring tx,Retail Trade
6.0,7523.0,automobile parking or parking lots,rps denv pennsylvanq,"['hotel in reamstown, pennsylvania']",rps,[],denver tn,"Trade, Professional and Personal Services"
122.85,5399.0,general merchandise or convenience food stores,aafes egypt cairo rtl,['view all'],aafes,[],apo xx,Services to Transport
33.5,7832.0,motion picture theaters,coconut point,"['view all', 'strip mall in estero, florida']",coconut point,"['view all', 'strip mall in estero, florida']",estero fl,Entertainment
21.85,nan,nan,tastee freez qps,['fast food restaurant'],tastee freez,['fast food restaurant'],gordonsville va,Retail Trade
2.5,5999.0,miscellaneous & specialty stores,jmcgh cafe,"['near jackson, tn', '· $restaurant · union university drclosed ⋅ opens fri', 'restaurant · w forest avetemporarily closed', '· $cafe · e main stclosed ⋅ opens fri']",thai cafe,['thai restaurant'],jackson tn,Entertainment
60.77,5931.0,secondhand or used merchandise stores,funky trunk boutique,"['used clothing store in frisco, colorado']",funky trunk boutique,"['used clothing store in frisco, colorado']",frisco co,Retail Trade
15.8,nan,nan,md athletic harbor,"['athletic club in baltimore, maryland']",maryland athletic club,"['athletic club in baltimore, maryland']",md,Health and Community Services
130.0,5940.0,bicycle shops -- sales and service,bicycle world,"['bicycle store in new kingman-butler, arizona']",bicycle world,"['bicycle store in new kingman-butler, arizona']",kingman az,Retail Trade
30.0,8011.0,doctors or physicians,cs ortho group amc,"['orthopedic clinic in stark county, ohio']",colorado springs orthopaedic,"['colorado springs, coclosed ⋅ opens fri', 'near colorado']",co,Health and Community Services
75.0,1711.0,a/c heating or plumbing contractors - sales & installation,papworth heating and a,[],papworth heating and air,[],mesa az,"Trade, Professional and Personal Services"
11.14,5137.0,men's women's and children's uniforms,desert deuce mto,[],desert deuce mto,[],az,Retail Trade
30.0,8011.0,doctors or physicians,arizona rad therapy cs,"['physical therapy clinic · e florence blvd ste ⋅ opens fri', 'near casa grande, az', 'oncologist · e sabin dr ⋅ opens fri', 'cancer treatment center · e sabin dr suite ⋅ opens fri']",arizona rad therapy cs,"['physical therapy clinic · e florence blvd ste ⋅ opens fri', 'near casa grande, az', 'oncologist · e sabin dr ⋅ opens fri', 'cancer treatment center · e sabin dr suite ⋅ opens fri']",casa grande az,Health and Community Services
65.65,nan,nan,nelson honda,"['car dealer in henry county, virginia']",nelson honda,"['car dealer in henry county, virginia']",martinsville va,Retail Trade
16.0,8398.0,charitable or social services organizations,world soc protect anim,[],world soc protect anim,[],ma,Health and Community Services
257.45,5812.0,restaurants or eating places,fraiche,['restaurant'],fraiche,['restaurant'],west vancouve cd,Retail Trade
2.29,5499.0,misc food stores - specialty markets & convenience,carver store,['convenience store'],carver store,['convenience store'],damascus or,Retail Trade
1.65,5814.0,fast food restaurants,brio coffee,"['espresso bar · south east (bldg. & ⋅ opens fri', 'near salt lake city, ut', '· $$italian · regent stcloses soon ⋅', 'cafe · aline wilmot skaggs biology building, e building ⋅ opens fri']",brio coffee,"['espresso bar · south east (bldg. & ⋅ opens fri', 'near salt lake city, ut', '· $$italian · regent stcloses soon ⋅', 'cafe · aline wilmot skaggs biology building, e building ⋅ opens fri']",salt lake cit ut,Entertainment
8.58,5812.0,restaurants or eating places,hawaii csmith pacom fc,['view all'],hawaii csmith pacom fc,['view all'],camp smith hi,Entertainment
146.0,8021.0,dentists or orthodontists,john wayne dental llc,"['near maricopa, az', 'dentist · n john wayne pkwy ⋅ opens mon', 'dentist · n john wayne pkwy ste ⋅ opens fri', 'dentist · n john wayne pkwyclosed ⋅ opens sat']",arizona associates in dentistry,"['cosmetic dentist in maricopa, arizona']",maricopa az,Health and Community Services
12.04,nan,nan,oaks corner,['bar & grill'],oaks corner,['bar & grill'],emeryville ca,Retail Trade
93.43,4900.0,electric gas sanitary telephone or water utilities,utility bill online py,[],utility billing services,"['city tax office · morgan hill, caclosed ⋅ opens fri', 'near santa clara county, ca', 'city government office · modesto, caclosed ⋅ opens fri', 'city government office · mountain view, ca']",co,"Trade, Professional and Personal Services"
214.5,6513.0,real estate agents and managers-rentals,animas vly land&water,"['water treatment plant in san juan county, new mexico']",animas valley land and water,"['water treatment plant in san juan county, new mexico']",farmington nm,"Trade, Professional and Personal Services"
45.74,5697.0,tailors seamstresses mending & alterations,angela's alterations,"['tailor in universal city, texas']",angelas alterations,"['tailor in universal city, texas']",universal cit tx,"Trade, Professional and Personal Services"
74.65,4816.0,computer network/info svcs,naturessmile,[],naturessmile,[],fl,"Trade, Professional and Personal Services"
36.0,nan,nan,chateau briand,['restaurant'],chateau briand,['restaurant'],pico rivera ca,Entertainment
10.69,5812.0,restaurants or eating places,wok inn noodle,['chinese restaurant'],wok inn noodle,['chinese restaurant'],boise id,Entertainment
45.58,nan,nan,house chev,"['chevrolet dealer in stewartville, minnesota']",house chevrolet,"['chevrolet dealer in stewartville, minnesota']",stewartville mn,Retail Trade
28.0,5812.0,restaurants or eating places,krum diner,"['· $$italian · w mccart stclosed ⋅ opens fri', 'near krum, tx', 'restaurant · e mccart sttemporarily closed', '· $diner · w mccart stclosed ⋅ opens fri']",portofinos italian restaurant krum tx,['italian restaurant'],krum tx,Entertainment
15.98,nan,nan,prairie meadows f and,['casino'],prairie meadows casino racetrack and hotel,['casino'],altoona ia,Entertainment
2.26,nan,nan,zurich bouleva,"['insurance agency in overland park, kansas']",zurich agency services,"['insurance agency in overland park, kansas']",overlandpark ks,Finance
40.07,nan,nan,bordens stationery,"['greeting card shop in point pleasant beach, new jersey']",bordens stationery and educational resources and office supplies,"['greeting card shop in point pleasant beach, new jersey']",pt plsnt bch nj,Retail Trade
5.72,nan,nan,ollies of greensbo,"['discount store in greensboro, north carolina']",ollies bargain outlet,"['discount store in greensboro, north carolina']",greensboro nc,Retail Trade
170.0,nan,nan,town dental pa,"['dentist in excelsior, minnesota']",town dental,"['dentist in excelsior, minnesota']",excelsior mn,Health and Community Services
83.0,nan,nan,pga tour,"['golf shop in palm valley, florida']",pga tour,"['golf shop in palm valley, florida']",ponte vedre b fl,Retail Trade
39.25,5199.0,non-durable goods (nec),wedding factory direct,"['wedding store in worcester, massachusetts']",wedding factory direct,"['wedding store in worcester, massachusetts']",ma,Retail Trade
97.25,5099.0,durable goods (nec),culligan  phoenix,['water softening equipment supplier'],culligan,"['phoenix, azclosed ⋅ opens fri', 'near arizona', 'yuma, azclosed ⋅ opens fri', 'tucson, azclosed ⋅ opens fri']",az,"Trade, Professional and Personal Services"
75.0,7230.0,barber or beauty shops,hair with taryn nielse,"['· hair salonsalt lake city, utclosed ⋅ opens fri', '· health and beauty factory outlet drclosed ⋅ opens fri', '· hair e stemporarily closed', 'near draper, ut']",hair with tasha,"['view all', '· hair e sclosed ⋅ opens fri', 'near draper, ut', '· hair draper pkwyclosed ⋅ opens fri', '· hair s e suite ⋅ opens fri']",draper ut,"Trade, Professional and Personal Services"
23.0,nan,nan,so pure salon & sp,"['view all', 'hair salon in tallahassee, florida']",soleil 7 salon and spa,"['hair salon in tallahassee, florida']",tallahassee fl,"Trade, Professional and Personal Services"
75.0,nan,nan,k & m rentals inc.,"['scooter rental service in osceola county, florida']",k and m rentals,"['scooter rental service in osceola county, florida']",kissimmee fl,"Trade, Professional and Personal Services"
24.57,5499.0,misc food stores - specialty markets & convenience,shefield and sons,"['tobacco shop in edmonton, alberta']",shefield and sons,"['tobacco shop in edmonton, alberta']",edmonton cd,Retail Trade
26.72,5732.0,electronic sales,scotts electronics,"['cell phone store in marshall, minnesota']",scotts electronics,"['cell phone store in marshall, minnesota']",marshall mn,"Trade, Professional and Personal Services"
26.0,nan,nan,fairmont nails and,"['nail salon in pasadena, texas']",fairmont nails and spa,"['nail salon in pasadena, texas']",pasadena tx,"Trade, Professional and Personal Services"
145.0,7230.0,barber or beauty shops,amanda l melnick,['view all'],amanda long,['view all'],kalispell mt,"Trade, Professional and Personal Services"
12.44,nan,nan,las ventanas resta,[],las ventanas restaurant and cantina,"['mexican restaurant in houston, texas']",houston tx,Entertainment
22.0,nan,nan,andrews diner,['restaurant'],andrews diner,['restaurant'],staten isalnd ny,Entertainment
745.0,nan,nan,fed of state med b,"['psychiatric hospital in dublin, ohio']",fed,[],tx,Retail Trade
100.0,6211.0,security brokers/dealers,micro,['view all'],micro,['view all'],ny,Finance
44.15,7299.0,misc personal services not elsewhere classified,taskrabbit,[],taskrabbit,[],ca,"Trade, Professional and Personal Services"
131.52,nan,nan,j & j rattan,"['outdoor furniture store in the glenvar heights, florida']",j and j,"['refrigerator store · nw stclosed ⋅ opens fri', 'air conditioning store · nw aveclosed ⋅ opens fri', 'near miami, fl', 'motor vehicle dealer · nw stclosed ⋅ opens fri']",miami fl,Entertainment
129.77,nan,nan,hefs,['bar & grill'],hefs,['bar & grill'],charlotte nc,Entertainment
37.01,nan,nan,posman books,"['bookstore in new york city, new york']",posman books,"['bookstore in new york city, new york']",new york ny,Retail Trade
30.0,8011.0,doctors or physicians,sq *dr. helena grant,['view all'],sq *dr. helena grant,['view all'],maricopa az,Health and Community Services
50.0,4814.0,telecommuncations serv incl loca/long dist credit & fax,telconow,"['telecommunications service provider in hamilton, bermuda']",hamilton betty,['view all'],hamilton bm,"Trade, Professional and Personal Services"
56.0,4225.0,public warehousing-farm prod refridgerat,alta storage,"['self-storage facility in sandy, utah']",alta storage,"['self-storage facility in sandy, utah']",ut,"Trade, Professional and Personal Services"
174.0,nan,nan,vv family beauty s,"['beauty salon in fort worth, texas']",v and v family beauty salon,"['beauty salon in fort worth, texas']",fort worth tx,"Trade, Professional and Personal Services"
165.0,7230.0,barber or beauty shops,carmel erber,['view all'],carmel erber moreno,['view all'],san diego ca,"Trade, Professional and Personal Services"
155.33,7538.0,automotive service shops (non-dealer),ade industries,"['wheelchair store in pima county, arizona']",ade industries,"['wheelchair store in pima county, arizona']",az,Services to Transport
88.0,nan,nan,cafe brussels,['belgian restaurant'],cafe brussels,['belgian restaurant'],houston tx,Entertainment
17.0,5977.0,cosmetic stores,colortration,['view all'],colortration,['view all'],ny,Retail Trade
26.58,nan,nan,farma plus,"['pharmacy in panama city, panama']",panama park,"['view all', 'park in sunnyvale, california']",panama pb,Travel
15.01,nan,nan,sal's roma deli ii,['pizza restaurant'],sals roma deli and pizza,['pizza restaurant'],monroe nj,Retail Trade
177.0,7230.0,barber or beauty shops,onyx premiere hair stu,"['beauty salon in salem, virginia']",onyx hair salon,"['beauty salon in salem, virginia']",salem va,"Trade, Professional and Personal Services"
10.0,4814.0,telecommuncations serv incl loca/long dist credit & fax,idt*calling cards,[],calling card plus,[],nj,Communication Services
17.1,nan,nan,rico pan bakery in,['bakery'],rico pan bakery,['bakery'],hackentown nj,Retail Trade
196.75,8042.0,ophthalmologists or optometrists,a to z eye care,"['optometrist in jefferson county, colorado']",a to z eye care,"['optometrist in jefferson county, colorado']",littleton co,Health and Community Services
5.33,5691.0,men's and women's clothing stores,ocean club sportswear,"['beach clothing storedaytona beach, flclosed ⋅ opens fri', 'gift shopdaytona beach, flcloses soon ⋅', 'sporting goods storedaytona beach, flclosed ⋅ opens fri', 'near florida']",ocean club sportswear,"['beach clothing storedaytona beach, flclosed ⋅ opens fri', 'gift shopdaytona beach, flcloses soon ⋅', 'sporting goods storedaytona beach, flclosed ⋅ opens fri', 'near florida']",dayt bch sh fl,Retail Trade
81.0,nan,nan,dr ivor meyerson,"['optometrist in redondo beach, california']",ivor meyerson optometrist,"['optometrist in redondo beach, california']",redondo beach ca,Health and Community Services
16.0,5541.0,gas/service stations with/without ancillary services,yvons supersonic car w,"['car wash in lewiston, maine']",yvons supersonic car wash,"['car wash in lewiston, maine']",lewiston me,Services to Transport
17.22,5812.0,restaurants or eating places,pachos mexican grill,"['near madison, ga', '· $$mexican · eatonton rdclosed ⋅ opens fri', 'mexican · eatonton, gaclosed ⋅ opens fri', '· $mexican · n main stclosed ⋅ opens fri']",pachos mexican grill,"['near madison, ga', '· $$mexican · eatonton rdclosed ⋅ opens fri', 'mexican · eatonton, gaclosed ⋅ opens fri', '· $mexican · n main stclosed ⋅ opens fri']",madison ga,Entertainment
60.51,5542.0,automated fuel dispensers,rocket market,['grocery store'],rocket market,['grocery store'],spokane wa,Retail Trade
49.0,5968.0,continuity/subscription merchant,dohmen capital holding,[],dohmen capital,[],nv,Property and Business Services
12.99,5941.0,sporting goods stores,bass pro outdoor world,"['sporting goods store in harlingen, texas']",bass pro shops,"['sporting goods store in harlingen, texas']",harlingen tx,Retail Trade
28.04,5812.0,restaurants or eating places,karmaindiancuisine,['indian restaurant'],karmaindiancuisine,['indian restaurant'],santaclarita ca,Entertainment
58.66,nan,nan,rose radiology cen,"['diagnostic center in tampa, florida']",rose radiology center,"['diagnostic center in tampa, florida']",fl,Health and Community Services
46.84,5921.0,liquor wine package or beer stores,wineoland.com,"['edison, njclosed ⋅ opens fri', 'near new jersey', 'jackson township, njclosed ⋅ opens fri', 'howell township, njclosed ⋅ opens fri']",wine o land,"['edison, njclosed ⋅ opens fri', 'near new jersey', 'jackson township, njclosed ⋅ opens fri', 'howell township, njclosed ⋅ opens fri']",nj,Retail Trade
54.0,5977.0,cosmetic stores,zdr,['view all'],zdr,['view all'],st laurent cd,Retail Trade
101.0,7217.0,upholstery cleaning or carpet cleaning,oxi fresh of phoenix a,"['closed ⋅ opens fri', 'w royal palm rd ste g', 'near phoenix, az']",oxi fresh carpet cleaning,"['phoenix, az', 'near arizona', 'closed ⋅ opens fri', 'carpet cleaning service in phoenix, arizona']",az,"Trade, Professional and Personal Services"
18.8,5999.0,miscellaneous & specialty stores,bead source,"['bead store in thousand oaks, california']",bead source,"['bead store in thousand oaks, california']",thousand oaks ca,Retail Trade
25.0,nan,nan,humble executive s,['hotel'],humble executive suites,['hotel'],humble tx,Travel
38.11,nan,nan,gene latta ford in,"['ford dealer in adams county, pennsylvania']",gene latta ford,"['ford dealer in adams county, pennsylvania']",hanover pa,Retail Trade
30.0,7230.0,barber or beauty shops,zara nails,"['beauty salon in phoenix, arizona']",zara nails plus,"['beauty salon in phoenix, arizona']",phoenix az,"Trade, Professional and Personal Services"
10.64,nan,nan,quickstop food mar,['convenience store'],quick stop,"['chambers stclosed ⋅ opens fri', 'near quick stop, s broad st, trenton, nj', 's broad stclosed ⋅ opens fri']",trenton nj,Retail Trade
12.15,5814.0,fast food restaurants,lees's donuts,[],sugarush st paul,['bakery'],st paul mn,Retail Trade
18.12,5814.0,fast food restaurants,mexican baja grill,"['palo alto, cacloses soon ⋅', 'near santa clara county, ca', 'los gatos, cacloses soon ⋅', 'san jose, cacloses soon ⋅']",baja fresh mexican grill,"['mexican restaurant in rockville, maryland']",ca,Entertainment
88.2,nan,nan,capitol building s,"['building materials store in newington, virginia']",capitol building supply,"['building materials store in newington, virginia']",springfield va,Retail Trade
465.0,nan,nan,orange crescent sc,"['view all', 'elementary school in garden grove, california']",orange crescent school,"['elementary school in garden grove, california']",ca,Education
43.5,nan,nan,terrell steak & gr,"['· $$steak · e moore aveclosed ⋅ opens fri', 'near terrell, tx', 'steak · e moore aveclosed ⋅ opens fri', '· $$restaurant · tanger drcloses soon ⋅']",terrell steak and grill restaurant,['steak house'],terrell tx,Entertainment
57.57,7538.0,automotive service shops (non-dealer),jim ellis mazda servic,"['auto repair shop in marietta, georgia']",jim ellis mazda marietta,"['mazda dealer in marietta, georgia']",ga,Retail Trade
7.0,nan,nan,lebanon great esca,"['standard am · am · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm', 'standard pm · pm · pm · pm', 'movie theater in pleasant hill, pennsylvania', 'standard am · pm · pm · pm · pm · pm · pm', 'tomorrow | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul']",great escape lebanon valley 0,"['standard am · am · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm', 'standard pm · pm · pm · pm', 'movie theater in pleasant hill, pennsylvania', 'standard am · pm · pm · pm · pm · pm · pm', 'tomorrow | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul']",lebanon pa,Entertainment
4.94,5921.0,liquor wine package or beer stores,guilford liquor,['liquor store'],guilford liquors,['liquor store'],washington dc,Retail Trade
3.0,nan,nan,watusi,['cafe'],watusi,['cafe'],hilton head i sc,Retail Trade
10.39,nan,nan,tavern,['family restaurant'],village square tap house,['bar'],clemmons nc,Entertainment
12.09,5812.0,restaurants or eating places,fergburger,"['view all', 'hamburger restaurant']",fergburger,"['view all', 'hamburger restaurant']",queenstown nz,Entertainment
269.75,7549.0,towing services,a secure towing llc,[],a secure towing llc gilbert,[],az,Services to Transport
6.83,nan,nan,hole enterprises,"['near lakeway, tx', 'donuts · austin, txclosed ⋅ opens fri', '· $grocery store · ranch rd scloses soon ⋅']",nancy brown enterprises,"['near lakeway, tx', 'landscape designer', 'otolaryngologist · lakeway centre ct unit bclosed ⋅ opens mon']",lakeway tx,"Trade, Professional and Personal Services"
