Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
70.36,5399.0,general merchandise or convenience food stores,$ jewelry,"['jewelry store · brown st # ⋅ opens fri', 'jewelry repair service · s rogers stclosed ⋅ opens fri', 'near waxahachie, tx', 'jewelry store · n hwy ste ⋅ opens fri']",wileys diamonds and fine jewelry,"['jewelry store in waxahachie, texas']",waxahachie tx,Retail Trade
14.17,5921.0,liquor wine package or beer stores,u stop convenience sto,['liquor store'],u stop convenience,['liquor store'],mesa az,Retail Trade
35.0,5912.0,pharmcies or drug stores,rx unlimited pharmacy,"['pharmacy in los angeles, california']",rx unlimited pharmacy,"['pharmacy in los angeles, california']",van nuys ca,Retail Trade
105.25,5812.0,restaurants or eating places,wizards sports cafe,['sports bar'],wizards sports cafe,['sports bar'],richardson tx,Entertainment
7.6,7399.0,business services (nec),rachels mediterranean,"['mediterranean lee entranceclosed ⋅ opens fri', 'near rachels mediterranean grill, lee entrance, buffalo, ny', 'mediterranean restaurantamherst, nyclosed ⋅ opens fri']",rachels mediterranean,"['mediterranean lee entranceclosed ⋅ opens fri', 'near rachels mediterranean grill, lee entrance, buffalo, ny', 'mediterranean restaurantamherst, nyclosed ⋅ opens fri']",amherst ny,Entertainment
35.62,nan,nan,cardinal animal ho,"['veterinarian in the bon air, virginia']",cardinal animal hospital,"['veterinarian in the bon air, virginia']",richmond va,Health and Community Services
30.7,7230.0,barber or beauty shops,sasha hair & day spa,"['hair salon in glen rock, new jersey']",sasha hair and nail design,"['hair salon in glen rock, new jersey']",glen rock nj,"Trade, Professional and Personal Services"
20.62,nan,nan,hunan chef,['hunan restaurant'],hunan chef,['hunan restaurant'],houston tx,Entertainment
278.06,4112.0,passenger railways,eurostar spi,['view all'],eurostar spi,['view all'],s pancras gb,Travel
46.0,5812.0,restaurants or eating places,sleeping dog traven,[],draft station,['brewpub'],santa fe nm,Entertainment
8.99,5814.0,fast food restaurants,nau scholars,"['university department · knoles drclosed ⋅ opens fri', 'college · knoles drclosed ⋅ opens fri', 'near flagstaff, az', 'coffee shop · cline library, knoles drcloses soon ⋅']",northern arizona university,"['public university in flagstaff, arizona']",flagstaff az,Education
9.08,nan,nan,mcintyres pub,['pub'],mcintyres pub,['pub'],toms river nj,Entertainment
24.24,nan,nan,duffys palm beach,"['west palm beach, flclosed ⋅ opens fri', 'north palm beach, flclosed ⋅ opens fri', 'northlake blvdclosed ⋅ opens fri', 'near palm beach gardens, fl']",duffys sports grill,"['north palm beach, flclosed ⋅ opens fri', 'northlake blvdclosed ⋅ opens fri', 'near palm beach gardens, fl']",palm beach ga fl,Entertainment
21.2,5812.0,restaurants or eating places,red door bistro inc,['bistro'],red door,"['furniture store in calgary, alberta']",calgary cd,Entertainment
17.3,nan,nan,cafe red,"['· $$restaurant · katy mills circlosed ⋅ opens fri', 'near katy, tx', 'seafood · katy mills cir', '· $$restaurant · mercantile pkwyclosed ⋅ opens fri']",cafe red,"['· $$restaurant · katy mills circlosed ⋅ opens fri', 'near katy, tx', 'seafood · katy mills cir', '· $$restaurant · mercantile pkwyclosed ⋅ opens fri']",katy tx,Entertainment
20.75,nan,nan,jordan park bevera,['beer distributor'],jordan park beverage,['beer distributor'],whitehall pa,Retail Trade
25.81,nan,nan,stockwell pharmacy,"['pharmacy in lincoln, nebraska']",stockwell pharmacy,"['pharmacy in lincoln, nebraska']",lincoln ne,Retail Trade
6.77,nan,nan,moulton grocery,['grocery store'],moulton grocery and market,['grocery store'],moulton tx,Retail Trade
9.0,7832.0,motion picture theaters,aztec    concessions,['mexican restaurant'],aztec    concessions,['mexican restaurant'],gallup nm,Entertainment
35.27,nan,nan,u mini market,['supermarket'],dc mini super market,['convenience store'],washington dc,Retail Trade
186.0,8021.0,dentists or orthodontists,kirk k yen dds inc,"['oral surgeon in milpitas, california']",kirk k.yen d.d.s.,"['oral surgeon in milpitas, california']",san jose ca,Health and Community Services
75.0,7230.0,barber or beauty shops,sq *lulu burt,['view all'],lulu burt,"['family law attorney in scottsdale, arizona', 'view all']",scottsdale az,"Trade, Professional and Personal Services"
12.5,nan,nan,sq *katmania crepe,"['european restaurant', 'view all']",arts and crepes,[],cypress tx,"Trade, Professional and Personal Services"
45.0,nan,nan,maple medical llp,"['medical clinic in white plains, new york']",maple medical llp,"['medical clinic in white plains, new york']",white plains ny,Health and Community Services
150.0,8211.0,elementary or secondary schools,arrupe jesuit high sch,"['coeducation in denver, colorado']",arrupe jesuit high school,"['coeducation in denver, colorado']",denver co,Retail Trade
25.0,nan,nan,desantis family pr,"['medical clinic in hickory, north carolina']",desantis family practice,"['medical clinic in hickory, north carolina']",hickory nc,Health and Community Services
25.0,8011.0,doctors or physicians,"gregory m. schackel, m","['otolaryngologist in durango, colorado']",greg schackel md,"['otolaryngologist in durango, colorado']",durango co,Health and Community Services
10.47,5812.0,restaurants or eating places,impellizzeri's pizza,"['blankenbaker pkwy suite suite ⋅ opens fri', 'near louisville, ky', 'bardstown rdclosed ⋅ opens fri', 'brownsboro rdclosed ⋅ opens fri']",impellizzeris pizza,"['blankenbaker pkwy suite suite ⋅ opens fri', 'near louisville, ky', 'bardstown rdclosed ⋅ opens fri', 'brownsboro rdclosed ⋅ opens fri']",louisville ky,Entertainment
31.08,nan,nan,image beauty cente,['view all'],image beauty center,"['beauty supply store in evesham township, new jersey', 'view all']",laurel spring nj,"Trade, Professional and Personal Services"
87.63,nan,nan,fuji sushi bar and,['sushi restaurant'],fuji sushi bar and asian bistro,['sushi restaurant'],naples fl,Entertainment
33.0,7997.0,membership clubs incl sports rec athletic country golf,meridian spo*dues,[],meridian sports club,"['sports club in san rafael, california']",ca,Health and Community Services
50.0,7399.0,business services (nec),mvgiftcertificates,[],mvgiftcertificates,[],ma,Property and Business Services
7.6,5621.0,women's ready-to-wear stores,g stage #,"[""women's clothing store · lakewood blvdclosed ⋅ opens fri"", 'near downey', 'dance school · woodruff avecloses soon ⋅', ""· $$$women's clothing store · stonewood st spc soon ⋅""]",g by guess,"['clothing store in downey, california']",downey ca,Retail Trade
14.0,nan,nan,jakes northwoods,['restaurant'],jakes,['restaurant'],sparta wi,Entertainment
20.0,5812.0,restaurants or eating places,gasthof,['german restaurant'],gasthof zur gemutlichkeit,['german restaurant'],minneapolis mn,Entertainment
11.0,nan,nan,ucsd hdh goody's m,[],uc san diego health,"['medical center · la jolla, caopen hours', 'urgent care center · la jolla, caclosed ⋅ opens fri', 'internist · university center ln suite ⋅ opens fri', 'near uc san diego health urgent care – la jolla, villa la jolla dr, la jolla, ca']",la jolla ca,Health and Community Services
22.08,5812.0,restaurants or eating places,the edison,"['· $$american · mcgregor blvdclosed ⋅ opens fri', 'view all', 'near fort myers, fl', 'apartment complex · mina circlosed ⋅ opens fri', 'history museum · mcgregor blvdclosed ⋅ opens frihistoric homes, exhibitions & gardens']",the edison,"['· $$american · mcgregor blvdclosed ⋅ opens fri', 'view all', 'near fort myers, fl', 'apartment complex · mina circlosed ⋅ opens fri', 'history museum · mcgregor blvdclosed ⋅ opens frihistoric homes, exhibitions & gardens']",fort meyers fl,Entertainment
25.0,8398.0,charitable or social services organizations,sids of illinois,"['non-profit organization in lisle, illinois']",sids of illinois,"['non-profit organization in lisle, illinois']",il,Health and Community Services
14.55,5941.0,sporting goods stores,scuba steve's outdoor,"['boat dealer in keith county, nebraska']",scuba steves outdoor toys,"['boat dealer in keith county, nebraska']",ogallala ne,Retail Trade
13.69,7230.0,barber or beauty shops,the shaving bar,"['barber supply store in surprise, arizona']",the shaving bar,"['barber supply store in surprise, arizona']",surprise az,Retail Trade
72.0,5812.0,restaurants or eating places,magicopolis,['magic store'],magicopolis,['magic store'],santa monica ca,Entertainment
25.0,4814.0,telecommuncations serv incl loca/long dist credit & fax,v connect ivr,['view all'],v connect ivr,['view all'],tx,Communication Services
12.55,5814.0,fast food restaurants,tappy's yogurt,['frozen yogurt shop'],tappys yogurt,['frozen yogurt shop'],lewisville tx,Retail Trade
36.65,nan,nan,daruna restaurant,['restaurant'],daruma,['restaurant'],rutherford nj,Entertainment
81.0,742.0,veterinary services,adams county animal ho,"['veterinarian in westminster, colorado']",adams county animal hospital,"['veterinarian in westminster, colorado']",arvada co,Health and Community Services
23.9,5948.0,luggage or leather goods stores,belt outlet.com,"['fashion accessories store in bolingbrook, illinois']",beltoutlet.com,[],il,Retail Trade
45.85,5999.0,miscellaneous & specialty stores,greg cote llc,"['sporting goods store in anne arundel county, maryland']",greg cote,"['gastroenterologist in portland, oregon', 'view all']",md,Retail Trade
50.87,7538.0,automotive service shops (non-dealer),cummins rocky mtn,"['manufacturer in mesa, arizona']",cummins sales and service,"['manufacturer in mesa, arizona']",mesa az,Services to Transport
20.5,5814.0,fast food restaurants,hunter bay coffee bar,['coffee shop'],hunter bay coffee bar,['coffee shop'],missoula mt,Entertainment
50.0,7299.0,misc personal services not elsewhere classified,spokeo,[],spokeo,[],ca,"Trade, Professional and Personal Services"
4.0,nan,nan,grand summit banqu,['hotel'],grand summit hotel,"['hotel', 'view all']",park city ut,Travel
70.0,7230.0,barber or beauty shops,lea kiefer hair stylis,"['· hair main stclosed ⋅ opens fri', 'view all', '· hair independent ave suite ⋅ opens fri', 'near grand junction, co', '· hair mesa view aveclosed ⋅ opens fri']",grand junction koa holiday,"['campground in orchard mesa, colorado']",grand junctio co,Retail Trade
135.0,nan,nan,girlscouts,"['view all', 'youth organization in phoenix, arizona']",girl scouts of southern arizona,"['youth organization in tucson, arizona']",az,Health and Community Services
30.0,8011.0,doctors or physicians,steven l porter,"['orthopedic surgeon in gilbert, arizona']",dr. steven porter md,"['orthopedic surgeon in gilbert, arizona']",mesa az,Health and Community Services
31.9,5969.0,direct marketers (nec),spi*gaithervideos,[],spi,[],in,"Trade, Professional and Personal Services"
32.89,7538.0,automotive service shops (non-dealer),so sila enterprises,[],so sila enterprises,[],tse bonito nm,Services to Transport
1.07,nan,nan,kindle cesarsway,['view all'],amazon,"['santa clara, ca', 'near santa clara county, ca', 'san jose, ca']",wa,Retail Trade
212.34,7011.0,lodging hotels motels resorts,hotel vendome,"['hotel', 'view all']",hotel vendome,"['hotel', 'view all']",prescott az,Travel
64.46,nan,nan,jim beam american,"['distillery in clermont, kentucky']",jim beaman,[],clermont ky,"Trade, Professional and Personal Services"
27.8,5977.0,cosmetic stores,cos bar at riverwalk,"['cosmetics store in edwards, colorado']",cos bar,"['cosmetics store in edwards, colorado']",edwards co,Retail Trade
22.42,nan,nan,big dog sports caf,['cafe'],big dog sports cafe,['cafe'],north mankato mn,Entertainment
159.8,nan,nan,suki inc,['corporate office'],suki skincare,[],ma,"Trade, Professional and Personal Services"
21.65,nan,nan,lees valet cleaner,"['near alexandria', '· dry yoakum pkwy #', '· dry richmond hwyclosed ⋅ opens fri', '· dry n quaker lnclosed ⋅ opens fri']",lees cleaners,"['dry cleaner in groveton, virginia']",alexandria va,"Trade, Professional and Personal Services"
7.65,7993.0,video amusement game supplies,gamerz,"['video game store in safford, arizona']",gamerz,"['video game store in safford, arizona']",safford az,Retail Trade
15.72,742.0,veterinary services,banfield,"['veterinarian in surprise, arizona']",banfield,"['veterinarian in surprise, arizona']",surprise az,Health and Community Services
56.0,nan,nan,chelsea spa and na,"['nail salon in croton-on-hudson, new york']",chelsea nail and spa,"['nail salon in croton-on-hudson, new york']",croton on hud ny,"Trade, Professional and Personal Services"
25.0,7372.0,computer programming systems design or data processing serv,wepay davidteddyware,[],wepay davidteddyware,[],ca,"Trade, Professional and Personal Services"
19.95,nan,nan,hck*hitchcock shoe,"['shoe store in hingham, massachusetts']",hitchcock shoes,"['shoe store in hingham, massachusetts']",ma,Retail Trade
65.0,8011.0,doctors or physicians,sudan medical clinic,"['medical clinic in sudan, texas']",sudan medical clinic,"['medical clinic in sudan, texas']",tx,Health and Community Services
6.8,5814.0,fast food restaurants,island teriyaki,['asian restaurant'],island teriyaki,['asian restaurant'],glendale az,Entertainment
21.86,nan,nan,glass pavilion,['fine dining restaurant'],glass pavilion,['fine dining restaurant'],corpus christ tx,Entertainment
25.0,5251.0,hardware stores,deakynes true value ha,"['hardware store in minnetonka, minnesota']",deakynes true value hardware,"['hardware store in minnetonka, minnesota']",minnetonka mn,Retail Trade
316.27,nan,nan,carlsen subaru,"['subaru dealer in redwood city, california']",carlsen subaru,"['subaru dealer in redwood city, california']",redwood city ca,Retail Trade
50.0,7299.0,misc personal services not elsewhere classified,sq *melinda hill,[],sq *melinda hill,[],wichita falls tx,"Trade, Professional and Personal Services"
35.79,nan,nan,clawson honda,['honda dealer'],clawson honda of fresno,['honda dealer'],fresno ca,Retail Trade
52.0,5968.0,continuity/subscription merchant,wfm*jillian michaels,['view all'],jillian michaels,['view all'],ny,Property and Business Services
45.0,5968.0,continuity/subscription merchant,twx*xrh*cosmo,[],cosmos diner,['restaurant'],ny,Property and Business Services
100.0,7230.0,barber or beauty shops,vicki vargas,['view all'],vicki vargas,['view all'],tuscon az,"Trade, Professional and Personal Services"
131.98,5970.0,craft or artist's supply shops,beadstringers,"['bead store in jefferson county, colorado']",beadstringers,"['bead store in jefferson county, colorado']",littleton co,Retail Trade
12.33,nan,nan,"abc distributors,","['hardware store in arlington, virginia']",abc distributors,"['hardware store in arlington, virginia']",arlington va,Retail Trade
53.3,nan,nan,rajput indian cuis,['restaurant'],rajput indian cuisine,['restaurant'],va beach va,Entertainment
10.0,8099.0,medical services and health practitioners (nec),ihp bondurant family c,"['dentist in bondurant, iowa']",ihp,"['chiropractor in bondurant, iowa', 'view all']",bondurant ia,Health and Community Services
1.5,8999.0,professional services (nec),paypal *zcyou,[],paypal *zcyou,[],ca,"Trade, Professional and Personal Services"
30.85,nan,nan,salvamex restauran,['mexican restaurant'],salva mex,['salvadoran restaurant'],houston tx,Entertainment
39.93,5812.0,restaurants or eating places,chilies,['tex-mex restaurant'],chilis grill and bar,['tex-mex restaurant'],cheyennee wy,Entertainment
9.15,nan,nan,bluedogcoffeebaran,['american restaurant'],blue dog cafe,['american restaurant'],newyork ny,Entertainment
25.94,5964.0,catalog merchant,ps stitch/patterns,['view all'],ps stitch/patterns,['view all'],oh,Retail Trade
20.0,nan,nan,autocomm corp,['food producer'],autocom,"['used car dealer · san leandro, caclosed ⋅ opens fri', 'near santa clara county, ca', 'truck repair shop · tulare, caclosed ⋅ opens fri', 'used car dealer · concord, caclosed ⋅ opens fri']",ca,Services to Transport
6.21,nan,nan,milkboy coffee,['coffee shop'],milkboy philadelphia,['live music venue'],ardmore pa,Entertainment
2.57,5812.0,restaurants or eating places,ozzies tacos,"['mexican · country manor blvdclosed ⋅ opens fri', 'near billings, mt', '· $mexican · grand ave ⋅ opens fri', 'mexican · grand ave']",taco treat,['mexican restaurant'],billings mt,Entertainment
21.45,5814.0,fast food restaurants,empadas,"['near belo horizonte, state of minas gerais, brazil', 'diner · feira dos produtores, av. cristiano machado, - loja ⋅ opens', '· $snack bar · av. abílio machado, ⋅ opens', 'snack bar · r, r. pte. nova, ⋅ opens']",empadas,"['near belo horizonte, state of minas gerais, brazil', 'fast food · av. augusto de limaclosed ⋅ opens', 'diner · feira dos produtores, av. cristiano machado, - loja ⋅ opens', 'snack bar · r, r. pte. nova, ⋅ opens']",belo horizont br,Entertainment
78.75,9399.0,government services (nec) or fire departments,mccs   miramar,"['military base · san diego, ca', 'near miramar, san diego, ca', 'military base · miramar rdopen ⋅ closes', 'military base · miramar way']",mcas miramar commissioned officers club,"['museum in san diego, california']",san diego ca,Entertainment
9.95,5814.0,fast food restaurants,frost gelato in gilber,['ice cream shop'],frost a gelato shoppe,['ice cream shop'],gilbert az,Retail Trade
150.0,5941.0,sporting goods stores,funky buddha company,[],funky buddha,['view all'],chandler az,Retail Trade
64.64,5251.0,hardware stores,settergren hardware,"['hardware store in minneapolis, minnesota']",ace hardware,"['nicollet aveclosed ⋅ opens fri', 'near minneapolis, mn', 'hennepin aveclosed ⋅ opens fri']",minneapolis mn,Retail Trade
45.77,7991.0,tourist attractions and exhibits,sun studios,"['view all', 'open in maps']",sun studios,"['view all', 'open in maps']",memphis tn,Retail Trade
152.68,7011.0,lodging hotels motels resorts,lujiang hotel xiamen d,['hotel'],lujiang hotel xiamen d,['hotel'],xiamen cn,Travel
4.75,5814.0,fast food restaurants,cafe racer,['view all'],cafe racer,"['· $$cafe · wyoming st ⋅ opens fri', 'motorcycle shop · michigan avetemporarily closed', 'near missoula, mt', 'view all', 'motorsports store · n reserve stclosed ⋅ opens fri']",missoula mt,Retail Trade
696.76,nan,nan,reservedirect,[],reserve direct,[],mo,Travel
16.25,7832.0,motion picture theaters,galaxy    concessions,['view all'],galaxy    concessions,['view all'],roswell nm,Entertainment
30.77,nan,nan,firkin & phoenix r,['brewpub'],the phoenix on westheimer,['brewpub'],houston tx,Entertainment
4.39,5942.0,book stores,bkst uv of redlands #,"['bookstore in redlands, california']",bkst uv of redlands #,"['bookstore in redlands, california']",redlands ca,Retail Trade
17.32,nan,nan,katy printers,"['copy shop in katy, texas']",katy printers,"['copy shop in katy, texas']",katy tx,Property and Business Services
75.0,7230.0,barber or beauty shops,youngblood haircutters,"['hair salon in phoenix, arizona']",youngblood haircutters,"['hair salon in phoenix, arizona']",phoenix az,"Trade, Professional and Personal Services"
37.45,nan,nan,sq *divas floral a,"['florist in kearney, nebraska']",divas floral shop and boutique,"['florist in kearney, nebraska']",kearney ne,Retail Trade
27.15,5499.0,misc food stores - specialty markets & convenience,steves qwik stop,['convenience store'],steves qwik stop,['convenience store'],largo fl,Retail Trade
17.84,5812.0,restaurants or eating places,phils on front,['restaurant'],phils on front,['restaurant'],traverse city mi,Entertainment
21.78,nan,nan,soriana circunvala,['hypermarket'],guadalajara market,"['market · c. dionisio rodríguez ⋅ opens fri', 'market · calle antonio bravo ⋅ opens fri', 'flea market · av. javier mina', 'near guadalajara, jalisco, mexico']",guadalajara mx,Retail Trade
10.3,5411.0,grocery stores or supermarkets,cloverleaf family food,['view all'],cloverleaf family bowl,['view all'],emo cd,Entertainment
65.0,8011.0,doctors or physicians,kevin w cleary do,"['family practice physician in phoenix, arizona']",kevin w cleary do,"['family practice physician in phoenix, arizona']",phoenix az,Health and Community Services
4.65,5993.0,cigar stores and stands,mamas smoke shop,"['tobacco shop · w union hills dr ⋅ closes', 'tobacco shop · n aveopen ⋅ closes', 'near phoenix, az', 'tobacco shop · n aveopen hours']",nanas smoke shop,"['tobacco shop in phoenix, arizona']",phoenix az,Retail Trade
35.01,nan,nan,abc*anytime fitnes,"['gym in lake linganore, maryland']",anytime fitness,"['gym in santa clara, california']",ut,Health and Community Services
17.72,5812.0,restaurants or eating places,bison jack's,['restaurant'],bison jacks,['restaurant'],middleton wi,Entertainment
95.0,nan,nan,oakhill self stora,"['self-storage facility in parker county, texas']",oak hill storage,"['self-storage facility in parker county, texas']",weatherford tx,"Trade, Professional and Personal Services"
66.0,nan,nan,gle industries inc,[],gle,[],daly city ca,Retail Trade
5.87,5814.0,fast food restaurants,escape snack bar bldg,"['escape room center in san diego, california']",escape spa,"['· hair w market stclosed ⋅ opens fri', 'near san diego, ca', '· nail rancho penasquitos blvdclosed ⋅ opens fri', '· nail mira mesa blvd gclosed ⋅ opens fri']",san diego ca,"Trade, Professional and Personal Services"
2.19,5735.0,record shops,fye tempe,"['variety store in tempe, arizona']",fye,"['variety store in tempe, arizona']",tempe az,Retail Trade
186.75,nan,nan,oceanic motel,"['hotel', 'view all']",oceanic motel,"['hotel', 'view all']",ocean city md,Travel
162.66,4214.0,motor freight carriers truck-local/long,securlock at peoria,"['self-storage facility · n aveclosed ⋅ opens fri', 'self-storage facility · n lake pleasant pkwyclosed ⋅ opens fri', 'near peoria, az']",securlock storage at peoria,[],az,"Trade, Professional and Personal Services"
66.0,5912.0,pharmcies or drug stores,lee silsby compounding,"['pharmacy in beachwood, ohio']",lee silsby compounding pharmacy,"['pharmacy in beachwood, ohio']",oh,Retail Trade
69.0,nan,nan,glendora optometri,"['eye care center in glendora, california']",glendora optometric vision center,"['eye care center in glendora, california']",glendora ca,Health and Community Services
160.0,nan,nan,chichiro auto sale,"['car dealer in oklahoma city, oklahoma']",chichiro auto sales,"['car dealer in oklahoma city, oklahoma']",ok,Retail Trade
20.57,5399.0,general merchandise or convenience food stores,pasco ranch and home,['animal feed store'],pasco ranch and home,['animal feed store'],pasco wa,Retail Trade
52.36,5812.0,restaurants or eating places,galeanas grill,['family restaurant'],galeanas grill,['family restaurant'],long beach ca,Entertainment
32.0,nan,nan,sharons alteration,"['clothing alteration service in the south hill, washington']",kims alterations,"['clothing alteration service in wilmington, north carolina']",wilmington nc,"Trade, Professional and Personal Services"
10.0,8011.0,doctors or physicians,"ara keshishian, md, a","['surgeon in pasadena, california']",ara keshishian m.d. facs fasmbs general and bariatric weight loss surgery,"['surgeon in pasadena, california']",ca,Health and Community Services
6.0,7542.0,car washes,raceway express carwas,"['car wash in fontana, california']",raceway express car wash,"['car wash in fontana, california']",fontana ca,Services to Transport
30.55,5993.0,cigar stores and stands,everett smoke shop,"['near morrow county, or', 'tobacco shop · everett, waclosed ⋅ opens fri']",everett tobacco company,['tobacco shop'],everett wa,Retail Trade
7.41,nan,nan,little cakes cupca,['bakery'],little cakes cupcake kitchen,['bakery'],vista ca,Retail Trade
54.29,7538.0,automotive service shops (non-dealer),wyoming fleet service,"['tire shop in cheyenne, wyoming']",wyoming fleet services,"['truck repair shop · w st', 'near wyoming fleet services, w lincolnway, cheyenne, wy', 'city government office · old happy jack rd', 'government office · w stclosed ⋅ opens fri']",cheyenne wy,Services to Transport
15.73,8999.0,professional services (nec),luft machine llc,"['welder in sterling, colorado']",luft,"['welder in sterling, colorado', 'view all']",sterling co,"Trade, Professional and Personal Services"
34.28,5200.0,home supply warehouse stores,l appartement,['view all'],l appartement,['view all'],paris fr,Retail Trade
20.0,8042.0,ophthalmologists or optometrists,eye asso corpus christ,"['ophthalmologist in corpus christi, texas']",eye associates corpus christi,"['ophthalmologist in corpus christi, texas']",corpus chrsti tx,Health and Community Services
19.44,nan,nan,golfland entertain,"['water park in mesa, arizona']",golfland sunsplash,"['water park in mesa, arizona', 'amusement park company', 'view all']",az,Entertainment
10.14,5812.0,restaurants or eating places,fiesta cabana,['view all'],fiesta cabana,['view all'],gateway west tx,Entertainment
8.0,nan,nan,clintons car wash,"['car wash in oneida county, new york']",clintons car wash,"['car wash in oneida county, new york']",clinton ny,Services to Transport
25.49,5812.0,restaurants or eating places,tacos acapulco inc,['mexican restaurant'],tacos acapulco,['mexican restaurant'],denver co,Entertainment
11.0,8220.0,universities colleges sr colleges or professional schools,um golf course ccgc,"['view all', 'golf course in missoula, montana']",university of montana golf course,"['golf course in missoula, montana']",missoula mt,Entertainment
35.46,nan,nan,annie's vintage go,['catering'],annies vintage gourmet,['catering'],jupiter fl,Entertainment
39.75,5968.0,continuity/subscription merchant,soaps in depth,"['opera company in englewood cliffs, new jersey']",soaps in depth,"['opera company in englewood cliffs, new jersey']",nj,Property and Business Services
10.88,nan,nan,plutos palo altoq,['american restaurant'],plutos,['american restaurant'],palo alto ca,Entertainment
