Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
25.0,6012.0,financial institutions - merchandise & services,quorum fcu,"['credit unionclosed ⋅ opens fri', 'federal credit unionsan jose, catemporarily closed', 'near santa clara county, ca']",quorum fcu glenview il,[],ny,Finance
250.0,6211.0,security brokers/dealers,forex.com,['corporate office'],forex.com,['corporate office'],nj,Finance
53.36,6300.0,insurance sales and underwriting,kanawha ins/humana,"['insurance agency in lancaster, south carolina']",kanawha insurance,"['insurance agency in lancaster, south carolina']",sc,Finance
20.0,7276.0,tax preparation service,k and k insurance agen,"['insurance agency in tucson, arizona']",k and k insurance,"['insurance agency in tucson, arizona']",tucson az,Finance
275.26,5999.0,miscellaneous & specialty stores,mr e's sports cards &,"['sports card store in orem, utah']",mr es sports cards and collectibles,"['sports card store in orem, utah']",orem ut,Finance
4.54,nan,nan,chilly mart,"['gas station in north richland hills, texas']",chilly mart,"['gas station in north richland hills, texas']",north richlan tx,Services to Transport
20.0,5541.0,gas/service stations with/without ancillary services,fuller oil co inc,"['gas station in nowata, oklahoma']",fuller oil,"['gas station in nowata, oklahoma']",nowato ok,Services to Transport
12.0,nan,nan,bulk shell,"['gas station in horry county, south carolina']",bulk shell service center,"['gas station in horry county, south carolina']",conway sc,Services to Transport
27.0,nan,nan,rick steeles gulf,"['auto repair shop in bucks county, pennsylvania']",rick steeles gulf service,"['auto repair shop in bucks county, pennsylvania']",newtown pa,Services to Transport
44.55,nan,nan,steve's automotive,"['· auto repair shopcuyahoga falls, ohclosed ⋅ opens fri', '· auto repair shopcleveland, ohclosed ⋅ opens mon', '· auto repair shopkernersville, ncclosed ⋅ opens fri', 'near columbus oh, oh']",steves automotive,"['gas station in greensboro, north carolina']",greensboro nc,Services to Transport
56.47,5542.0,automated fuel dispensers,toads express mart,['convenience store'],astro,['convenience store'],woodland wa,Services to Transport
34.1,5947.0,card gift novelty or souvenir shops,perfect card box,"['view all', 'e-commerce service in livingston county, michigan']",the perfect card box,"['view all', 'e-commerce service in livingston county, michigan']",mi,Finance
25.67,nan,nan,franks trucking ce,['truck stop'],franks trucking center,['truck stop'],chesapeake va,Services to Transport
10.0,nan,nan,bp  e colonia,"['e colonial dropen', 'pine hills, flopen', 'near orlando, fl']",bp,"['john young pkwyopen', 's semoran blvdopen', 'near orlando, fl', 's kirkman rdopen']",orlando fl,Services to Transport
35.06,nan,nan,cranford citgo,"['gas station in cranford, new jersey']",cranford citgo,"['gas station in cranford, new jersey']",cranford nj,Services to Transport
67.08,7542.0,car washes,rfb guest house,"['lodging in kempton park, gauteng, south africa']",rfb guest house,"['lodging in kempton park, gauteng, south africa']",kempton park za,Services to Transport
15.0,nan,nan,hampton bp,['gas station'],bp,['gas station'],hampton nj,Services to Transport
28.4,7538.0,automotive service shops (non-dealer),auto lab phx greenway,"['auto repair shop in phoenix, arizona']",honest  auto care glendale,"['auto repair shop in glendale, arizona']",phoenix az,Services to Transport
169.06,4899.0,cable and other pay television services,comcast chicago,"['s halsted stclosed ⋅ opens fri', 'w north aveclosed ⋅ opens fri', 'n ashland aveclosed ⋅ opens fri', 'near chicago, il']",comcast,"['near illinois', 'chicago, ilclosed ⋅ opens fri']",comcast il,Communication Services
81.0,6300.0,insurance sales and underwriting,america latina insuran,"['auto insurance agency in west valley city, utah']",american latina insurance,"['insurance agency in west valley city, utah']",west valley ut,Finance
53.7,5542.0,automated fuel dispensers,pilgrim petro,['gas station'],pilgrim petro,['gas station'],menomonee fal wi,Services to Transport
216.0,nan,nan,trans american aut,"['truck repair shop in elizabeth, new jersey']",trans american,"['truck repair shop in elizabeth, new jersey']",elizabeth nj,Communication Services
12.54,nan,nan,abc auto #,"['auto parts store in dallas, texas']",abc auto,"['auto parts store in dallas, texas']",dallas tx,Services to Transport
39.99,7538.0,automotive service shops (non-dealer),buchanan lube center,"['auto repair shop in the rouzerville, pennsylvania']",buchanan lube center,"['car repair and maintenance in buchanan dam, texas']",buchanan dam tx,Services to Transport
79.99,4899.0,cable and other pay television services,hns*hughesnet.com,[],hughesnet,"['near maryland', 'forest hill, mdclosed ⋅ opens fri', 'germantown, md']",md,Communication Services
149.8,nan,nan,wheel world,"['auto repair shop in miami gardens, florida']",wheel world,"['auto repair shop in miami gardens, florida']",opa locka fl,Services to Transport
55.39,5542.0,automated fuel dispensers,whitestown trvl cntr,"['truck stop · east state road hours', 'travel agency · whitestown pkwy', 'truck stop · s indianapolis rdopen hours', 'near whitestown, in']",whitestown metropolitan police department,"['police department in boone county, indiana']",whitestown in,Services to Transport
35.63,5542.0,automated fuel dispensers,longmeadow auto & fuel,"['auto repair shop in paramount-long meadow, maryland']",longmeadow auto repair and fuel center,"['auto repair shop in paramount-long meadow, maryland']",hagerstown md,Services to Transport
6.5,5812.0,restaurants or eating places,hott spott,[],wash spott car wash,['car wash'],lamar co,Services to Transport
2916.32,7538.0,automotive service shops (non-dealer),allstar automotive llc,"['auto repair shop in wheat ridge, colorado']",allstar automotive,[],denver co,Services to Transport
14.49,nan,nan,paul farmer oil co,[],paul farmer oil,[],va,Services to Transport
572.46,6300.0,insurance sales and underwriting,century insurance,"['· insurance agencybend, orclosed ⋅ opens fri', 'auto insurance agencymadras, ortemporarily closed', 'near morrow county, or', '· auto insurance agencyspokane valley, waclosed ⋅ opens fri']",mclarnon regina,"['insurance agency in new castle county, delaware']",de,Finance
10.0,nan,nan,sdi  garth,"['view all', 'bus stop in eastchester, new york']",sdi,"['store in hartsdale, new york']",scarsdale ny,Property and Business Services
10.0,5631.0,women's accessory and specialty shops,freeway jewelers,"['bowling alley in grand junction, colorado']",freeway financial services,"['financial planner in grand junction, colorado']",grand junctio co,Finance
2.16,nan,nan,dvdnow of el paso,[],el paso international airport,"['airport in el paso, texas']",el paso tx,Services to Transport
2.0,7523.0,automobile parking or parking lots,fashion ctr pentagon c,"['shopping mall in arlington, virginia']",fashion centre at pentagon city,"['shopping mall in arlington, virginia']",arlington va,Services to Transport
9.0,7542.0,car washes,johnny's pet & car was,"['car wash in kaysville, utah']",johnnys pet and car wash,"['car wash in kaysville, utah']",fruit heights ut,Services to Transport
30.0,5399.0,general merchandise or convenience food stores,carwa,"['car e pacific dropen ⋅ closes fri', 'car s havana stclosed ⋅ opens fri', 'near aurora, co']",neighborhood carwash aurora,"['car wash in aurora, colorado']",aurora co,Services to Transport
18.0,5968.0,continuity/subscription merchant,twx*pk*gq mag,[],twx*pk*gq mag,[],ny,Property and Business Services
1.84,5814.0,fast food restaurants,nrg,"['solar energy company · n main st suite', 'near fort worth, tx', 'gas station · sand stopen hours', 'computer consultant']",c nrg fleet,"['gas station in fort worth, texas']",fort worth tx,Services to Transport
41.1,7538.0,automotive service shops (non-dealer),"on site oil change, ll","['· oil change n northsight blvd ⋅ opens fri', '· oil change n scottsdale rdclosed ⋅ opens fri', '· car battery storeclosed ⋅ opens fri', 'near scottsdale, az']",insite oilchange,[],scottsdale az,Services to Transport
20.0,nan,nan,classic touch auto,"['car wash in winston-salem, north carolina']",classic touch auto wash,"['car wash in winston-salem, north carolina']",winston salem nc,Services to Transport
35.93,4814.0,telecommuncations serv incl loca/long dist credit & fax,cellularoutfitter.com,[],cellularoutfitter coupons,[],ca,Communication Services
700.85,5200.0,home supply warehouse stores,raenco,"['los pueblosclosed ⋅ opens fri', 'near panama city, panama', 'bethania, transístmicaclosed ⋅ opens fri', 'view all', 'panama city, panamaclosed ⋅ opens fri']",panama park,"['view all', 'pharmacy in jacksonville, florida']",panama pb,Travel
499.47,7011.0,lodging hotels motels resorts,west lodge park,['hotel'],lodge park,"['open in maps', 'hotel in chipping barnet, england']",barnet gb,Travel
48.0,nan,nan,aaa ms dues,[],american automobile association,"['francis lewis blvdclosed ⋅ opens fri', 'near new york, ny', 'broadwayclosed ⋅ opens fri', 'ralph aveclosed ⋅ opens fri']",ny,Travel
11.09,5541.0,gas/service stations with/without ancillary services,aralstation,[],aralstation,[],landsberg am df,Services to Transport
154.36,7996.0,amusement parks carnivals circuses or fortune tellers,mall of america,"['shopping mall in bloomington, minnesota']",mall of america,"['shopping mall in bloomington, minnesota']",bloomington mn,Travel
28.0,5697.0,tailors seamstresses mending & alterations,caspian enterprises,"['view all', 'law firm in salt lake city, utah']",caspian energy,['view all'],holladay ut,Property and Business Services
75.99,nan,nan,skypark.com,[],skypark,['theme park'],ca,Services to Transport
25.0,7299.0,misc personal services not elsewhere classified,country oaks rv mobile,"['mobile home park in calcasieu parish, louisiana']",country oaks rv park,"['mobile home park in calcasieu parish, louisiana']",la,Travel
158.17,3513.0,westin hotels,westin casuarina htl&stes,"['view all', 'hotel']",the westin las vegas hotel and spa,"['near the westin las vegas hotel & spa, e flamingo rd, las vegas, nv', 'e flamingo rd', 'henderson, nv']",las vegas nv,Travel
600.0,7699.0,repair shops and related services -- miscellaneous,rvzz,"['rv repair shop in washington, utah']",rvzz repair shop,"['rv repair shop in washington, utah']",washington ut,Services to Transport
7.5,7542.0,car washes,mr. brightside carwash,"['self service car wash in colorado springs, colorado']",mr. brightside car wash,"['self service car wash in colorado springs, colorado']",colorado spri co,Services to Transport
19.74,5499.0,misc food stores - specialty markets & convenience,mado cafe,"['near i̇stanbul, turkey', 'beyoğlu/i̇stanbul, turkeyclosed ⋅ opens', 'fatih/i̇stanbul, turkeyclosed ⋅ opens']",istanbul travel,[],istanbul tr,Travel
48.99,7011.0,lodging hotels motels resorts,mammoth hotel,['hotel'],mammoth hot springs hotel,['hotel'],yellowstone wy,Travel
21.65,5542.0,automated fuel dispensers,ljs express,"['gas station in milo, maine']",ljs express,"['gas station in milo, maine']",milo me,Services to Transport
11.26,5499.0,misc food stores - specialty markets & convenience,solo in town llc,[],solo,"['grocery store', 'view all']",wallsburg ut,Services to Transport
36.0,5812.0,restaurants or eating places,beach street grill,['gluten-free restaurant'],beach street grill,['gluten-free restaurant'],san francisco ca,Entertainment
80.16,4816.0,computer network/info svcs,seeed technology inc,[],beijing cafe,"['chinese · now', 'cafe · chaoyanggongyuan rd,', 'near beijing, china', 'coffee shop · qixing e st']",beijing cn,Entertainment
1715.65,7011.0,lodging hotels motels resorts,salisbury hotel,['hotel'],salisbury hotel,['hotel'],edinburgh gb,Travel
70.0,nan,nan,improv  net,[],improv,"['comedy club · ontario, cacloses soon ⋅ names, showcases & stand-up comedy', 'near washington dc (hagerstown md)', '· $$comedy club · homestead, paclosed ⋅ opens fricomedy club mainstay for live acts', 'comedy club · cary, ncclosed ⋅ opens fricomedy venue with pub grub & drinks']",ca,Entertainment
21.3,5814.0,fast food restaurants,dawson's family restau,['restaurant'],dawsons family restaurant,['restaurant'],childress tx,Entertainment
15.0,nan,nan,verdugo golf,"['golf course in los angeles, california']",verdugo hills golf course,"['golf course in los angeles, california']",tujunga ca,Entertainment
4.29,7399.0,business services (nec),google *gmanapps,[],google.com,[],google.com/ch ca,Property and Business Services
10.34,nan,nan,wiseguy pizza,['pizza restaurant'],wiseguy pizza,['pizza restaurant'],boise id,Entertainment
17.0,5812.0,restaurants or eating places,rich's,['gay night club'],richs,['gay night club'],san diego ca,Entertainment
41.62,5812.0,restaurants or eating places,tempe tavern,"['view all', 'bar & grill']",tempe tavern,"['view all', 'bar & grill']",tempe az,Entertainment
375.0,nan,nan,bremer financial s,"['south st paul, mnclosed ⋅ opens fri', 'near minnesota', 'minneapolis, mnclosed ⋅ opens fri', 'st paul, mn']",bremer bank,"['st louis park, mnclosed ⋅ opens fri', 'near santa clara county, ca', 'minneapolis, mnclosed ⋅ opens fri', 'edina, mnclosed ⋅ opens fri']",mn,Finance
13.0,5812.0,restaurants or eating places,kona ranch #,['steak house'],ranch steakhouse,"['view all', 'steak house']",oklahoma city ok,Entertainment
121.0,5812.0,restaurants or eating places,noras cuisine,['italian restaurant'],noras italian cuisine,['italian restaurant'],las vegas nv,Entertainment
5.24,nan,nan,hancocks service c,"['gas station in chesterfield county, virginia']",hancocks service center,"['gas station in chesterfield county, virginia']",richmond va,Services to Transport
77.22,nan,nan,ella's place,['american restaurant'],ellas place,['american restaurant'],elizabethtown pa,Entertainment
20.51,5812.0,restaurants or eating places,rest las viandas ii,['restaurant'],rest las viandas ii,['restaurant'],cd victoria t mx,Entertainment
179.25,5999.0,miscellaneous & specialty stores,fun hawaii travel,"['travel agency in honolulu, hawaii']",fun hawaii travel,"['travel agency in honolulu, hawaii']",honolulu hi,Travel
336.6,4511.0,airlines air carriers (not listed below),ukraine,"['charity in dallas, texas']",ukraine,"['charity in dallas, texas']",clebourne tx,Travel
24.73,5812.0,restaurants or eating places,lucky teriyaki,['chinese restaurant'],lucky teriyaki,['chinese restaurant'],sedro woolley wa,Entertainment
56.24,5812.0,restaurants or eating places,sinugba,['filipino restaurant'],sinugba,['filipino restaurant'],daly city ca,Entertainment
88.44,nan,nan,fenice creolo,['american restaurant'],fenice creolo,['american restaurant'],phoenixville pa,Entertainment
23.66,5812.0,restaurants or eating places,the kauai family resta,['hawaiian restaurant'],kauai family restaurant,"['view all', 'hawaiian restaurant']",seattle wa,Entertainment
17.0,nan,nan,onyx club,['night club'],onyx club,['night club'],roseville ca,Entertainment
44.13,5542.0,automated fuel dispensers,beaver creek gas mart,"['gas station in lake montezuma, arizona']",beaver creek gas mart,"['gas station in lake montezuma, arizona']",rimrock az,Services to Transport
42.45,5812.0,restaurants or eating places,addis ababa restaurant,"['near columbus oh, oh', 'columbus, ohclosed ⋅ opens fri', 'manama, bahrainopen hours', 'view all', 'louisville, kyclosed ⋅ opens fri']",addis ababa restaurant,"['near washington dc (hagerstown md)', 'richmond, vaclosed ⋅ opens fri', 'view all', 'rochester, nyclosed ⋅ opens fri', 'louisville, kyclosed ⋅ opens fri']",adliya bh,Entertainment
19.99,nan,nan,cnp*vogue magazine,['view all'],cnp*vogue magazine,['view all'],co,Property and Business Services
12.07,5812.0,restaurants or eating places,port elizabeth gri,['view all'],boathouse bar and grill,['restaurant'],caseville mi,Entertainment
11.13,5814.0,fast food restaurants,oh burrito,"['· $mexican · s ave', 'near walla walla, wa', '· $mexican · e isaacs ave', 'mexican · short st']",taqueria yungapeti,['mexican restaurant'],walla walla e wa,Entertainment
44.0,nan,nan,live arts,"['near live arts, e water st, charlottesville, va', 'performing arts theater · e water st', 'performing arts theater · carlton rd, suites &,', 'performing arts theater · e market st']",live arts,"['near live arts, e water st, charlottesville, va', 'performing arts theater · e water st', 'performing arts theater · carlton rd, suites &,', 'performing arts theater · e market st']",va,Entertainment
10.0,5812.0,restaurants or eating places,mee sen thai eatery,['thai restaurant'],mee sen thai eatery,['thai restaurant'],portland or,Entertainment
18.95,8299.0,schools and educational services (nec),dave ramsey company,"['financial consultant in franklin, tennessee']",ramsey solutions,"['view all', 'financial consultant in franklin, tennessee']",tn,Education
6.01,nan,nan,no frills paul's #,"['grocery store', 'view all']",no frills oil,"['grocery s service rdclosed ⋅ opens sat', 'view all', 'grocery erin mills pkwyclosed ⋅ opens sat', 'near mississauga, on, canada', 'grocery eglinton ave wclosed ⋅ opens sat']",mississauga cd,Services to Transport
28.11,nan,nan,mama finas dominic,"['view all', 'restaurant']",mama fina,['restaurant'],bellflower ca,Entertainment
32.62,5812.0,restaurants or eating places,boss hoggs restaurant,['steak house'],boss hoggs restaurant and saloon,['steak house'],pagosa spring co,Entertainment
7.73,7299.0,misc personal services not elsewhere classified,ottarias waters ice ho,[],dairy queen,['ice cream shop'],apache juncti az,Entertainment
16.86,nan,nan,mejia taco shop,['mexican restaurant'],mejia taco shop,['mexican restaurant'],madera ca,Entertainment
21.03,nan,nan,xsjomlo gmbh,['try more general keywords.'],beijing cafe,"['· $chinese · philadelphia, paclosed ⋅ opens fri', 'near washington dc (hagerstown md)', '· $chinese · bowie, mdclosed ⋅ opens fri', 'chinese · charlotte hall, mdclosed ⋅ opens fri']",beijing cn,Entertainment
72.88,nan,nan,gus's mexican cant,['restaurant'],guanajuato mexican restaurant,['mexican restaurant'],milwaukee wi,Entertainment
2.99,nan,nan,alobertos taco sho,['mexican restaurant'],alobertos taco shop,['mexican restaurant'],national city ca,Entertainment
30.0,nan,nan,winewood,['american restaurant'],winewood,['american restaurant'],grapevine tx,Entertainment
96.37,5812.0,restaurants or eating places,alpine tavern inc,['restaurant'],alpine tavern restaurant and bar,['restaurant'],vail co,Entertainment
106.9,nan,nan,a to z rentals,['equipment rental agency'],a to z rentals,['equipment rental agency'],wilmington nc,Property and Business Services
9.66,nan,nan,milanos grill,['italian restaurant'],milanos,['italian restaurant'],valley al,Entertainment
35.68,5944.0,clock jewelry silverware or watch stores,chin jewelry,"['jeweler in bangkok, thailand']",bangkok thyme,['thai restaurant'],bangkok th,Entertainment
28.86,nan,nan,borrillos pizza an,['pizza restaurant'],borrillos pizzeria and beer and wine garden,['pizza restaurant'],saint augusti fl,Entertainment
12.96,5814.0,fast food restaurants,popeye's #,"['e colfax avecloses soon ⋅', 's parker rdcloses soon ⋅', 'near aurora, co']",popeyes,"['e colfax avecloses soon ⋅', 's parker rdcloses soon ⋅', 'near aurora, co']",aurora co,Entertainment
12.5,nan,nan,jade's filipino re,['driving directions'],jades filipino restaurant and groceries,['driving directions'],egg harbor to nj,Entertainment
44.0,nan,nan,colonial animal ho,"['animal hospital in springfield, virginia']",colonial animal hospital,"['animal hospital in springfield, virginia']",springfield va,Health and Community Services
41.73,5814.0,fast food restaurants,gate  tequil,"['mexican restaurant in honolulu, hawaii', 'view all']",tequileria restaurante y cantina,['mexican restaurant'],honolulu hi,Entertainment
20.5,5812.0,restaurants or eating places,falconer enterprises,[],falconer enterprises bend or,"['contractor · boyd acres rdclosed ⋅ opens fri', 'near bend, bend,or', 'stucco contractor · ne stclosed ⋅ opens fri', 'car rental agency · ne division stclosed ⋅ opens fri']",bend or,Entertainment
40.0,8099.0,medical services and health practitioners (nec),in motion foot & ankle,"['podiatrist in scottsdale, arizona']",arizona institute of motion,"['orthopedic surgeon in scottsdale, arizona']",scottsdale az,Health and Community Services
28.0,8220.0,universities colleges sr colleges or professional schools,ou press web,[],university of oklahoma press,[],ok,Education
18.0,5812.0,restaurants or eating places,ironside,['bar'],ironside,['bar'],san francisco ca,Entertainment
39.66,5812.0,restaurants or eating places,skippys grill & cantin,['bar & grill'],skippys grille and cantina,['bar & grill'],queen creek az,Entertainment
21.18,nan,nan,mandu roo,['korean restaurant'],mandu roo,['korean restaurant'],upper darby pa,Entertainment
335.73,nan,nan,citi of book,"['bookstore in shanghai, china']",citibank,"['now', 'near shanghai, china', 'xingye rdopen now', 'xizang rd (m)temporarily closed']",shanghai cn,Finance
35.27,5812.0,restaurants or eating places,aria   skybox bar,"['near las vegas, nv', '· $$$lounge · s las vegas blvd', 'bar · aria resort & casino, las vegas blvd s', '· $$$bar · las vegas blvd s']",lift bar,['bar'],las vegas nv,Entertainment
9.4,5812.0,restaurants or eating places,tamales by la casita,['mexican restaurant'],tamales by la casita,['mexican restaurant'],denver co,Entertainment
30.0,8062.0,hospitals,rehab services,"['medical clinic · w dean keeton stclosed ⋅ opens fri', 'rehabilitation center · barbara jordan blvd suite', 'near the university of texas at austin, austin, tx', 'mental health clinic · w dittmar rdopen hours']",rehab services,"['medical clinic · w dean keeton stclosed ⋅ opens fri', 'rehabilitation center · barbara jordan blvd suite', 'near the university of texas at austin, austin, tx', 'mental health clinic · w dittmar rdopen hours']",ut,Health and Community Services
7.0,5942.0,book stores,dating to relating,['view all'],dating to relate,['view all'],de,Health and Community Services
1672.0,7531.0,automotive body repair shops,gateway auto body,"['· auto body shopavondale, azopen hours', 'near santa clara county, ca', '· auto body shopchandler, azclosed ⋅ opens fri', '· auto body shopmesa, azclosed ⋅ opens fri']",gateway auto body and paint,"['auto body shop in chandler, arizona']",az,Services to Transport
8.79,5812.0,restaurants or eating places,okinawa teriyaki,['japanese restaurant'],okinawa teriyaki,['japanese restaurant'],wa,Entertainment
6.0,nan,nan,apa   farr lot,[],farr lot,"['parking lot in allentown, pennsylvania']",allentown pa,Services to Transport
45.6,nan,nan,rib city crosswind,['barbecue restaurant'],rib city,['barbecue restaurant'],st. petersbur fl,Entertainment
50.47,5812.0,restaurants or eating places,the peephole bar and g,['bar'],peep hole bar,['bar'],evansville in,Entertainment
24.0,nan,nan,peters st loun,"['lounge · peters st sw closed', '· $$american · peters st sw', '· $$lounge · peters st sw', 'near peters st sw, atlanta, ga']",white lounge,"['view all', 'lounge']",atlanta ga,Entertainment
26.1,nan,nan,los pollos,['catering food and drink supplier'],los pollos,['catering food and drink supplier'],downey ca,Entertainment
90.38,nan,nan,ph   tri rentals,"['near arizona', '· property management companyphoenix, azclosed ⋅ opens fri', '· property management companymesa, azclosed ⋅ opens fri']",tri state equipment rentals,"['near arizona', 'fort mohave, azclosed ⋅ opens fri', 'lake havasu city, azclosed ⋅ opens fri', 'closed ⋅ opens fri']",az,Property and Business Services
17.0,5812.0,restaurants or eating places,scores sports bar,['bar'],scores sports bar,['bar'],new braunfels tx,Entertainment
7.95,5399.0,general merchandise or convenience food stores,jumptv  lsu,['view all'],lsu,[],fl,Health and Community Services
12.18,5814.0,fast food restaurants,staqs bbq,['restaurant'],staqs bar b que,['restaurant'],smyrna ga,Entertainment
25.0,nan,nan,nuestra clinica de,"['w stclosed ⋅ opens fri', 'near san juan, tx']",nuestra clinica del valle,"['w stclosed ⋅ opens fri', 'n raul longoria rd', 'near san juan, tx']",san juan tx,Health and Community Services
859.41,nan,nan,brannon tire,"['auto repair shop in san joaquin county, california']",brannon tire and auto center,"['auto repair shop in san joaquin county, california']",stockton ca,Services to Transport
8.0,nan,nan,amc tustin,"['standard pm · pm · pmdolby cinema pm', 'standard pm · pm', 'thu, jun | fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul', 'movie theater in tustin, california']",amc tustin 4 at the district,"['standard pm · pm · pmdolby cinema pm', 'standard pm · pm', 'movie theater in tustin, california', 'today | tomorrow | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul']",tustin ca,Entertainment
10.69,5812.0,restaurants or eating places,west bank restaurant,"['convention center in idaho falls, idaho']",westbank lounge and convention center,"['convention center in idaho falls, idaho']",idaho falls id,Entertainment
8.44,5812.0,restaurants or eating places,soussi restaurant,['moroccan restaurant'],soussi restaurant,['moroccan restaurant'],washington dc,Entertainment
150.0,3509.0,marriott hotels,marriott vacations orl,"['avenida vista', 'resort grand horizons blvd', 'near orlando executive airport, rickenbacker dr, orlando, fl', 'corporate san marco ct']",marriott vacations worldwide corp,['corporate office'],orlando fl,Travel
21.62,nan,nan,la buns,['american restaurant'],l.a. buns,['american restaurant'],downey ca,Entertainment
158.06,nan,nan,wells tire,"['near wells, nv', 'tire shop · stclosed ⋅ opens fri', 'tire shop · st']",wells chevron,"['gas station in wells, nevada']",nv,Services to Transport
25.0,8062.0,hospitals,ucsf arthritis ctr #,"['rheumatologist · parnassus ave floor ⋅ opens fri', 'near san francisco, ca', 'orthopedic surgeon · owens st suite ⋅ opens fri']",ucsf arthritis and joint replacement center,"['orthopedic surgeon in san francisco, california']",san francisco ca,Health and Community Services
180.82,7538.0,automotive service shops (non-dealer),action enterprise,"['car rental agency · ste aclosed ⋅ opens fri', 'auto repair shop · fort mohave, azclosed ⋅ opens fri', 'near enterprise dr, bullhead city, az', 'accountant · palma rd ⋅ opens fri']",enterprise rent a car,"['car rental agency in bullhead city, arizona']",bullhead city az,Travel
104.0,7922.0,theatrical producers (excl motion pictures) ticket agencies,zachary scott theatre,"['performing arts theater in austin, texas']",topfer theatre at zach,"['performing arts theater in austin, texas']",tx,Entertainment
42.05,nan,nan,amatos cafe & cate,['italian restaurant'],amatos cafe and catering,['italian restaurant'],omaha ne,Entertainment
1298.4,3088.0,croatia airlines,croatia air,"['sandpoint way neclosed ⋅ opens fri', 'canton stclosed ⋅ opens fri', 'old ellis point ⋅ opens fri', 'near roswell, ga']",croatia air,"['hvac contractor in roswell, georgia']",roswell ga,Travel
8.02,5814.0,fast food restaurants,sphinx international,"['door manufacturer in chicago, illinois']",sphinx international,"['door manufacturer in chicago, illinois']",chicago il,Entertainment
8.12,5812.0,restaurants or eating places,skip's place,['pizza restaurant'],skips place pizza,['pizza restaurant'],los altos ca,Entertainment
40.0,7999.0,amusement/recreational services not elsewhere classified,rucker bowl ctr desk,"['view all', 'bowling alley in fort rucker, alabama']",rucker lanes bowling center,"['bowling alley in fort rucker, alabama']",fort rucker al,Entertainment
30.0,nan,nan,ymca of cr metro area,"['youth organization in cedar rapids, iowa']",ymca at mercy health plaza,"['youth organization in cedar rapids, iowa']",ia,Health and Community Services
51.35,5541.0,gas/service stations with/without ancillary services,newkirk service,"['near newkirk, nm', 'towing emerald rdopen hours', 'gas emerald rdclosed ⋅ opens fri', 'post emerald rdclosed ⋅ opens fri']",newkirk service and gas,['gas station'],newkirk nm,Services to Transport
35.35,8099.0,medical services and health practitioners (nec),relaxing massage,"['· massage ave ne suite ⋅ opens fri', '· massage st seclosed ⋅ opens fri', '· massage st sw suite ⋅ opens fri', 'near rochester, mn']",relaxing massage,"['· massage ave ne suite ⋅ opens fri', '· massage st seclosed ⋅ opens fri', '· massage st sw suite ⋅ opens fri', 'near rochester, mn']",rochester mn,"Trade, Professional and Personal Services"
41.98,nan,nan,simply tan,"['tanning salon in mesa, arizona']",simply tan,"['tanning salon in mesa, arizona']",mesa az,"Trade, Professional and Personal Services"
