Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
38.9,8299.0,schools and educational services (nec),prof training serv,"['insurance school in palatine, illinois']",illinois business innovation services,"['training centre in naperville, illinois']",il,Education
15.98,5999.0,miscellaneous & specialty stores,tina`s public beauty s,"['· beauty e washington blvdclosed ⋅ opens fri', 'beauty st ⋅ opens fri', 'near ogden, ut', 'beauty e washington blvd']",public beauty supply and gifts,"['beauty salon in south ogden, utah']",ogden ut,"Trade, Professional and Personal Services"
10.81,5812.0,restaurants or eating places,chatter box restaurant,['asian restaurant'],the chatter box restaurant,['asian restaurant'],stanwood wa,Entertainment
10.0,5812.0,restaurants or eating places,my happy kitchen inc,['chinese restaurant'],my happy kitchen,['chinese restaurant'],san jose ca,Entertainment
1.72,nan,nan,adams th street m,['deli'],adams 7th street market,['deli'],charlotte nc,Retail Trade
20.0,7299.0,misc personal services not elsewhere classified,gilt city,[],gilt city,[],ny,"Trade, Professional and Personal Services"
10.12,5542.0,automated fuel dispensers,car care inc,"['auto repair shop in miami, texas']",car care,"['auto repair shop in miami, texas']",miami tx,Services to Transport
50.0,nan,nan,drew university,"['twitter • days ago', 'private university in madison, new jersey']",drew university,"['twitter • days ago', 'private university in madison, new jersey']",madison nj,Education
70.0,7230.0,barber or beauty shops,"keri`s kreative kuts,",['view all'],"keri`s kreative kuts,","['beauty salon in cranberry township, pennsylvania', 'view all']",denver co,"Trade, Professional and Personal Services"
17.0,7992.0,golf courses -- public,kinderton country club,"['country club in mecklenburg county, virginia']",kinderton country club,"['country club in mecklenburg county, virginia']",clarksville va,Entertainment
35.0,5971.0,art dealers or galleries,st pius x,"['catholic church in tucson, arizona']",st pius x,"['catholic church in tucson, arizona']",tucson az,Entertainment
30.06,5542.0,automated fuel dispensers,main strret grocery,"['gas station in tacoma, washington']",main street gas and grocery,"['gas station in tacoma, washington']",tacoma wa,Services to Transport
200.0,7230.0,barber or beauty shops,hair braiding,"['· hair e colfax aveclosed ⋅ opens fri', '· beauty e colfax aveclosed ⋅ opens fri', '· hair sherman stclosed ⋅ opens fri', 'near denver, co']",hair braiding,"['· hair e colfax aveclosed ⋅ opens fri', '· beauty e colfax aveclosed ⋅ opens fri', '· hair sherman stclosed ⋅ opens fri', 'near denver, co']",denver co,"Trade, Professional and Personal Services"
8.03,nan,nan,b & s fuel,"['gas tonnelle aveopen', 'gas tonnelle ave', 'gas tonnelle', 'near north bergen, nj']",north bergen delta,"['gas station in north bergen, new jersey']",north bergen nj,Services to Transport
495.0,7299.0,misc personal services not elsewhere classified,loandepot.com,"['mortgage lendernewport beach, caclosed ⋅ opens fri', 'near california', 'mortgage lenderfoothill ranch, caclosed ⋅ opens fri', 'mortgage lendertustin, caclosed ⋅ opens fri']",loandepot,"['mortgage lenderconcord, caclosed ⋅ opens fri', 'near california', 'mortgage lenderlake forest, caclosed ⋅ opens fri', 'mortgage lenderfoothill ranch, caclosed ⋅ opens fri']",ca,Finance
39.0,7230.0,barber or beauty shops,sharon wagner llc,[],wagner law,"['near lakewood, co', 'denver, coclosed ⋅ opens fri', 'centennial, coclosed ⋅ opens fri']",lakewood co,"Trade, Professional and Personal Services"
25.25,nan,nan,the shack  santa m,['restaurant'],shack restaurant santa monica,"['· $$hamburger · los angeles, cacloses soon ⋅', 'near shack restaurant santa monica, wilshire blvd, santa monica, ca', '· $$hamburger · wilshire blvdcloses soon ⋅', '· $$hamburger · west hollywood, ca']",santa monica ca,Entertainment
37.73,nan,nan,titan rentals   he,"['construction equipment supplier · helena, mtclosed ⋅ opens fri', 'equipment rental agency · hydraulic laneclosed ⋅ opens fri', 'near east helena, mt', 'movie rental store · s lane aveclosed ⋅ opens fri']",bighorn rental and sales,"['equipment rental agency in montana city, montana']",east helena mt,Property and Business Services
19.99,7623.0,air conditioning or refrigeration repair shops,service now co,[],service now,[],az,"Trade, Professional and Personal Services"
139.28,nan,nan,buddakan,['asian restaurant'],buddakan,['asian restaurant'],philadelphia pa,Entertainment
6.5,nan,nan,sexy nails,"['nail salon in elizabeth, new jersey']",sexy nails,"['nail salon in elizabeth, new jersey']",elizabeth nj,"Trade, Professional and Personal Services"
10.23,nan,nan,carytown burgers a,['hamburger restaurant'],carytown burgers and fries,['hamburger restaurant'],richmond va,Entertainment
20.01,5542.0,automated fuel dispensers,timber city plaza,"['antique store in maquoketa, iowa']",timber city trading post,"['antique store in maquoketa, iowa']",maquoketa ia,Retail Trade
35.0,nan,nan,network life cente,"['non-profit organization in colorado springs, colorado']",network life center,"['non-profit organization in colorado springs, colorado']",co,Health and Community Services
25.0,8049.0,chiropodists or podiatrists,havasu foot&ankle surg,"['podiatrist in lake havasu city, arizona']",havasu foot and ankle surgi center,"['podiatrist in lake havasu city, arizona']",az,Health and Community Services
89.99,nan,nan,tec*mytechhelp,['view all'],mytechhelp,['view all'],fl,Property and Business Services
20.0,nan,nan,mpm immediate care,"['urgent care center in pasco county, florida']",baycare urgent care,"['urgent care center in pasco county, florida']",new port rich fl,Health and Community Services
37.8,5813.0,alcoholic beverages drinking places - bars nightclubs etc,bricco della regina an,['restaurant'],bricco della regina anna,['restaurant'],seattle wa,Entertainment
80.0,4816.0,computer network/info svcs,dri*ccnow.com solution,[],dri*ccnow.com solution,[],mn,"Trade, Professional and Personal Services"
86.0,nan,nan,brodheadsville vet,"['veterinarian in brodheadsville, pennsylvania']",brodheadsville veterinary clinic,"['veterinarian in brodheadsville, pennsylvania']",brodheadsvill pa,Health and Community Services
10.0,nan,nan,hanks live bait & tack,"['fishing store in waterloo, iowa']",hanks live bait and tackle,"['fishing store in waterloo, iowa']",waterloo ia,Retail Trade
73.24,5945.0,hobby toy or games stores,model roundup,[],model roundup,[],ga,Retail Trade
40.0,5551.0,boat dealers,boat dealer,"['boat dealer · afton, mnclosed ⋅ opens fri', 'near concord, mn', 'boat dealer · burnsville, mnclosed ⋅ opens fri', 'boat dealer · woodbury, mnclosed ⋅ opens fri']",lacannes marine,"['boat dealer in rice county, minnesota']",concord mn,Retail Trade
3.86,nan,nan,skyline foods,"['convenience ave sclosed ⋅ opens fri', 'atmskyline food mart, ave sclosed ⋅ opens fri', 'near minneapolis, mn', 'convenience glenwood aveclosed ⋅ opens fri']",skyline foods,"['convenience ave sclosed ⋅ opens fri', 'atmskyline food mart, ave sclosed ⋅ opens fri', 'near minneapolis, mn', 'convenience glenwood aveclosed ⋅ opens fri']",mpls mn,Retail Trade
293.37,7538.0,automotive service shops (non-dealer),leavenworth auto care,"['auto wrecker in chelan county, washington']",leavenworth auto care,"['auto wrecker in chelan county, washington']",wa,Services to Transport
15.4,nan,nan,tanning on the edg,"['near tanning on the edge, e edgewood dr appleton, wi', 'beauty van roy rdclosed ⋅ opens fri', 'beauty n richmond stclosed ⋅ opens fri']",tanning on the edge,"['near tanning on the edge, e edgewood dr appleton, wi', 'beauty van roy rdclosed ⋅ opens fri', 'beauty n richmond stclosed ⋅ opens fri']",appleton wi,"Trade, Professional and Personal Services"
14.96,nan,nan,la suitana restaur,[],la sultana restaurant,[],doral fl,Entertainment
6.0,nan,nan,sq *kathy's ice cr,"['view all', 'restaurant in crystal river, florida']",kathys,"['restaurant · ⋅ opens', 'insurance agency · w gulf to lake hwyclosed ⋅ opens', ""near kathy's, crystal river, fl""]",crystal river fl,Entertainment
39.61,nan,nan,i  express,"['near statesville, nc', 'hotel · carolina ave ninformal hotel with an indoor pool', 'discount store · w front stclosed ⋅ opens', '· $deli · w broad stclosed ⋅ opens']",sub express,['deli'],statesville nc,Retail Trade
1500.0,nan,nan,pedowitz machinery,"['near pedowitz heavy machinery movers and rigging, express dr n, hauppauge, ny', 'express dr nclosed ⋅ opens', 'closed ⋅ opens']",pedowitz machinery movers,"['near pedowitz heavy machinery movers and rigging, express dr n, hauppauge, ny', 'express dr nclosed ⋅ opens', 'closed ⋅ opens']",ny,"Trade, Professional and Personal Services"
23.99,5499.0,misc food stores - specialty markets & convenience,sameers market,['grocery store'],sameers market,['grocery store'],everett wa,Retail Trade
105.49,4812.0,telecommuncations equipment including telephone sales,tower wireless oakbrid,"['apartment building · w oakbridge ct ⋅ opens fri', 'near madison, wi', 'apartment complex · sheboygan aveclosed ⋅ opens fri', 'student housing center · n frances stclosed ⋅ opens fri', 'view all']",tower wireless,"['cell phone store in madison, wisconsin']",madison wi,Retail Trade
56.93,nan,nan,chai thai cuisine,['thai restaurant'],chai thai cuisine,['thai restaurant'],orlando fl,Entertainment
3.45,8398.0,charitable or social services organizations,a f arament museum fnd,"['museum in okaloosa county, florida']",air force armament museum,"['museum in okaloosa county, florida', 'view all']",eglin afb fl,Entertainment
9.0,nan,nan,pill and puff,['convenience store'],pill and puff health and beauty,['convenience store'],milwaukee wi,Retail Trade
5.75,5814.0,fast food restaurants,caffeine supreme,['coffee shop'],caffeine,"['near bakersfield, ca', '· $coffee shop · f stclosed ⋅ opens fri', '· $$cafe · stclosed ⋅ opens fri', '· $cafe · stclosed ⋅ opens fri']",bakersfield ca,Entertainment
160.95,5932.0,antique shops,yestedaze antiques,"['near sun city, az', 'antique furniture store · w peoria aveclosed ⋅ opens fri', 'thrift store · w peoria aveclosed ⋅ opens fri', 'store · grand aveclosed ⋅ opens fri']",estate resale,"['consignment shop in sun city, arizona']",sun city az,Retail Trade
51.82,8021.0,dentists or orthodontists,paul b martinez dds,"['near price, ut', 'dentist · s e', 'cosmetic dentist · s eclosed ⋅ opens fri', 'dentist · n e']",colton b martinez dds,"['cosmetic dentist in price, utah']",price ut,Health and Community Services
40.0,8398.0,charitable or social services organizations,police toy drive found,['view all'],police tax,"['police supply store in phoenix, arizona']",az,"Trade, Professional and Personal Services"
32.0,8099.0,medical services and health practitioners (nec),edc of denver,"['eating disorder treatment center · e aveclosed ⋅ opens fri', 'economic development agency · market st suite ⋅ opens fri', 'mental health clinic · e mississippi ave ⋅ opens fri', 'near denver, co']",edcare denver,"['mental health clinic in glendale, colorado']",co,Health and Community Services
54.14,5814.0,fast food restaurants,bruxie brea,['chicken restaurant'],bruxie original fried chicken and waffle sandwich,"['view all', 'chicken restaurant']",brea ca,Entertainment
29.95,nan,nan,paypal *m h life,[],paypal credit,[],gb,"Trade, Professional and Personal Services"
3.75,nan,nan,stacy's locker roo,"['sporting goods store in lincoln, nebraska']",the locker room,"['sporting goods store in lincoln, nebraska']",lincoln ne,Retail Trade
15.0,7399.0,business services (nec),tac landmark conv ctr,['convention center'],landmark catering and convention center,['convention center'],tacoma wa,Entertainment
11.93,5812.0,restaurants or eating places,surf road taco,['american restaurant'],surf road taco,['american restaurant'],hallandale fl,Entertainment
3188.29,nan,nan,core nap,[],core nap,[],tx,Communication Services
24.63,5812.0,restaurants or eating places,maria cantina,['mexican restaurant'],marias cantina,['mexican restaurant'],southaven ms,Entertainment
56.0,nan,nan,east restauran,"['· $$american · charlotte, ncclosed ⋅ opens', '· $vegan · charlotte, nctemporarily closed', 'location unknown', '· $diner · charlotte, nc']",wild east pan asian bistro,['asian restaurant'],charlotte nc,Entertainment
88.91,nan,nan,home hotel and mot,['hotel'],home hotel lava hot springs,['hotel'],lava hot spri id,Travel
2.68,5812.0,restaurants or eating places,lasso espresso co inc,['espresso bar'],lasso espresso,['espresso bar'],ne,Entertainment
52.35,nan,nan,crater rim cafe,['restaurant'],the rim,"['view all', 'restaurant']",hi,Entertainment
69.03,nan,nan,conner inc,"['near conner st, the bronx, ny', 'gas station · conner st', 'truck dealer · conner stclosed ⋅ opens', 'public works department · conner st']",bp,"['ave.open', 'near the bronx, ny', 'bruckner blvdopen', 'nyopen']",bronx ny,Services to Transport
73.0,7230.0,barber or beauty shops,echelon edge academy,[],edge academy,"['elementary school in south jordan, utah']",sandy ut,Retail Trade
6.5,5499.0,misc food stores - specialty markets & convenience,sq *ma&mo catering,"['caterer · s wclosed ⋅ opens fri', 'near salt lake city, ut', 'catering food and drink supplier · south salt lake, utclosed ⋅ opens fri', 'cafe · wells fargo center, s main st ⋅ opens fri']",elizabeths custom catering,['caterer'],salt lake cit ut,Entertainment
23.2,5813.0,alcoholic beverages drinking places - bars nightclubs etc,rodingzone pub,[],rodingzone pub,[],kunsan kr,Entertainment
12.53,7699.0,repair shops and related services -- miscellaneous,loyds marine,"['boat dealer in mesa, arizona']",loyds marine,"['boat dealer in mesa, arizona']",az,Retail Trade
49.5,7299.0,misc personal services not elsewhere classified,diamondstorm inc,[],diamondstorm phoenix az,"['near scottsdale, az', 'dinner theater · east vía de ventura', 'view all', 'shopping mall · e camelback rdclosed ⋅ opens fri', 'jewelry store · l, n scottsdale rd space blockclosed ⋅ opens fri']",scottsdale az,"Trade, Professional and Personal Services"
12.0,5499.0,misc food stores - specialty markets & convenience,spice gypsies,['coffee shop'],spice gypsies,['coffee shop'],denver co,Retail Trade
37.8,nan,nan,heart at work fitn,"['gym in arlington, texas']",heart at work fitness,"['gym in arlington, texas']",tx,Health and Community Services
186.75,7922.0,theatrical producers (excl motion pictures) ticket agencies,tm *van halen,['view all'],van halen at msg,[],ca,Entertainment
15.23,7230.0,barber or beauty shops,leidan mitchell salon,"['beauty salon in chandler, arizona']",leidan mitchell salon,"['beauty salon in chandler, arizona']",chandler az,"Trade, Professional and Personal Services"
34.6,nan,nan,cielito lindo dos,['mexican restaurant'],cielito lindo,"['mexican restaurant in oakland park, florida']",ft  lauderdal fl,Entertainment
15.0,8021.0,dentists or orthodontists,sonoma oral & facial s,"['oral surgeon in gilbert, arizona']",sonoma oral and facial surgery,"['near arizona', 'yuma, azclosed ⋅ opens fri', 'gilbert, azclosed ⋅ opens fri']",az,Health and Community Services
39.95,4816.0,computer network/info svcs,yahoo  *violenthippie.,[],yahoo  *violenthippie.,[],ca,"Trade, Professional and Personal Services"
2.48,5411.0,grocery stores or supermarkets,byerly's chanhassen,['grocery store'],lunds and byerlys,"['view all', 'grocery store']",chanhassen mn,Retail Trade
317.72,nan,nan,bayview veterinary,"['veterinarian in norfolk, virginia']",bayview veterinary clinic,"['veterinarian in norfolk, virginia']",norfolk va,Health and Community Services
21.5,nan,nan,sq *lv's barbersho,"['barber shop in minneapolis, minnesota']",lvs barbershop,"['· barber ne central aveclosed ⋅ opens fri', 'near minneapolis, mn', '· barber ave sclosed ⋅ opens fri']",minneapolis mn,"Trade, Professional and Personal Services"
25.0,7230.0,barber or beauty shops,glamor beauty salon,"['near chicago, il', '· beauty w stclosed ⋅ opens fri', '· nail n broadwayclosed ⋅ opens fri', '· hair n damen aveclosed ⋅ opens fri']",new glamour beauty salon,"['· beauty salonchicago, il', '· beauty salonchicago, ilclosed ⋅ opens fri', '· beauty w stclosed ⋅ opens fri', 'near glamour beauty salon, w st, cicero, il']",chicago il,"Trade, Professional and Personal Services"
6.34,5812.0,restaurants or eating places,nicos pizza and italia,['pizza restaurant'],nicos pizza and italian restaurant,['pizza restaurant'],bensalem pa,Entertainment
32.43,nan,nan,t and t tacos and,['mexican restaurant'],tacos and tequila,['mexican restaurant'],las vegas nv,Entertainment
9.0,5812.0,restaurants or eating places,roselli's pizza inc,['pizza restaurant'],rosellis,['pizza restaurant'],carmel in,Entertainment
29.3,5812.0,restaurants or eating places,fitzwilly's restaurant,['american restaurant'],fitzwillys,['american restaurant'],northampton ma,Entertainment
72.0,nan,nan,coc o'hare    e lo,[],economy parking lot e,['open in maps'],chicago il,Services to Transport
18.19,5812.0,restaurants or eating places,himitsu teriyaki,['sushi restaurant'],himitsu teriyaki,['sushi restaurant'],seattle wa,Entertainment
120.0,7230.0,barber or beauty shops,the nail bar,"['nail salon in irvine, california']",the nail bar,"['nail salon in irvine, california']",irvine ca,"Trade, Professional and Personal Services"
17.59,nan,nan,eataly restaurants,['italian restaurant'],eataly chicago,"['view all', 'italian restaurant']",chicago il,Entertainment
51.35,5812.0,restaurants or eating places,avilas el ranchito san,['mexican restaurant'],avilas el ranchito,['mexican restaurant'],san clemente ca,Entertainment
53.18,5999.0,miscellaneous & specialty stores,simply wireless,"['cell phone store in cheshire, connecticut']",simply wireless,"['cell phone store in cheshire, connecticut']",cheshire ct,Retail Trade
